call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,"a = torch.load(filename, map_location='cpu')",445,import torch,444.0,torch.load,torch,app_specific_files/demo/ccdag_utils.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\app_specific_files\demo\ccdag_utils.py
import,load,"checkpoint = torch.load(weights_file_path, map_location=""cpu"")",186,import torch,31.0,torch.load,torch,app_specific_files/demo/collage.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\app_specific_files\demo\collage.py
assignment_import,load_state_dict,model.load_state_dict(checkpoint['model']),187,"model = Darknet(net_config_path, img_size)",183.0,darknet_models.Darknet.load_state_dict,darknet_models,app_specific_files/demo/collage.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\app_specific_files\demo\collage.py
import,load,"classes_list = np.load(os.path.join(os.path.dirname(__file__),""classes_list_103_classes.npy""))",190,import numpy as np,33.0,numpy.load,numpy,app_specific_files/demo/collage.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\app_specific_files\demo\collage.py
import,loads,runtime_dict =json.loads(json_expr),114,import json,13.0,json.loads,json,app_specific_files/demo/generate_results.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\app_specific_files\demo\generate_results.py
import,load,model = onnx.load(f),21,import onnx,2.0,onnx.load,onnx,app_specific_files/demo/onnx2coreml.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\app_specific_files\demo\onnx2coreml.py
import,load,input_mapping = json.load(f),15,import json,3.0,json.load,json,core/alter_mapping.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\core\alter_mapping.py
import,load,task_mapping = json.load(f),281,import json,12.0,json.load,json,core/launch_circe.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\core\launch_circe.py
import,load,dep = yaml.load(specific_yaml),99,import yaml,6.0,yaml.load,yaml,core/_write_stream_service_specs.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\core\_write_stream_service_specs.py
import,load,dep = yaml.load(specific_yaml),113,import yaml,6.0,yaml.load,yaml,core/_write_stream_specs.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\core\_write_stream_specs.py
import,load,configs = json.load(open('centralized_scheduler/config.json')),80,import json,22.0,json.load,json,core/circe/decoupled_pricing/compute.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\core\circe\decoupled_pricing\compute.py
import,load,configs = json.load(open('/centralized_scheduler/config.json')),233,import json,22.0,json.load,json,core/circe/decoupled_pricing/compute.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\core\circe\decoupled_pricing\compute.py
import,load,configs = json.load(open('centralized_scheduler/config.json')),354,import json,37.0,json.load,json,core/circe/decoupled_pricing/scheduler.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\core\circe\decoupled_pricing\scheduler.py
import,load,configs = json.load(open('centralized_scheduler/config.json')),115,import json,22.0,json.load,json,core/circe/integrated_pricing/compute.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\core\circe\integrated_pricing\compute.py
import,load,configs = json.load(open('/centralized_scheduler/config.json')),283,import json,22.0,json.load,json,core/circe/integrated_pricing/compute.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\core\circe\integrated_pricing\compute.py
import,load,configs = json.load(open('centralized_scheduler/config.json')),210,import json,20.0,json.load,json,core/circe/integrated_pricing/monitor_nondag.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\core\circe\integrated_pricing\monitor_nondag.py
import,load,configs = json.load(open('/centralized_scheduler/config.json')),583,import json,20.0,json.load,json,core/circe/integrated_pricing/monitor_nondag.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\core\circe\integrated_pricing\monitor_nondag.py
import,load,configs = json.load(open('centralized_scheduler/config.json')),647,import json,20.0,json.load,json,core/circe/integrated_pricing/scheduler.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\core\circe\integrated_pricing\scheduler.py
import,load,configs = json.load(open('centralized_scheduler/config.json')),103,import json,22.0,json.load,json,core/circe/pricing_event/compute.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\core\circe\pricing_event\compute.py
import,load,configs = json.load(open('/centralized_scheduler/config.json')),227,import json,22.0,json.load,json,core/circe/pricing_event/compute.py,ANRGUSC/Jupiter,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\ANRGUSC@Jupiter\core\circe\pricing_event\compute.py
