call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,region_dict = json.load(f),23,import json,8,json.load,json,data/greece/deprecated/iMEdD-Lab/download.py,Covid-19-Response-Greece/covid19-data-greece,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Covid-19-Response-Greece@covid19-data-greece\data\greece\deprecated\iMEdD-Lab\download.py
import,load,area_dict = json.load(f),26,import json,8,json.load,json,data/greece/deprecated/iMEdD-Lab/download.py,Covid-19-Response-Greece/covid19-data-greece,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Covid-19-Response-Greece@covid19-data-greece\data\greece\deprecated\iMEdD-Lab\download.py
import,load,geo_department_dict = json.load(f),29,import json,8,json.load,json,data/greece/deprecated/iMEdD-Lab/download.py,Covid-19-Response-Greece/covid19-data-greece,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Covid-19-Response-Greece@covid19-data-greece\data\greece\deprecated\iMEdD-Lab\download.py
import,load,region_coordinates_dict = json.load(f),32,import json,8,json.load,json,data/greece/deprecated/iMEdD-Lab/download.py,Covid-19-Response-Greece/covid19-data-greece,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Covid-19-Response-Greece@covid19-data-greece\data\greece\deprecated\iMEdD-Lab\download.py
import,load,data = json.load(json_file),27,import json,6,json.load,json,data/greece/deprecated/isMOOD/download.py,Covid-19-Response-Greece/covid19-data-greece,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Covid-19-Response-Greece@covid19-data-greece\data\greece\deprecated\isMOOD\download.py
import,load,area_dict = json.load(f),17,import json,2,json.load,json,data/greece/deprecated/NPHO/download_vaccines_data.py,Covid-19-Response-Greece/covid19-data-greece,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Covid-19-Response-Greece@covid19-data-greece\data\greece\deprecated\NPHO\download_vaccines_data.py
import,load,region_dict = json.load(f),23,import json,8,json.load,json,data/greece/regional/download_gr_data.py,Covid-19-Response-Greece/covid19-data-greece,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Covid-19-Response-Greece@covid19-data-greece\data\greece\regional\download_gr_data.py
import,load,area_dict = json.load(f),26,import json,8,json.load,json,data/greece/regional/download_gr_data.py,Covid-19-Response-Greece/covid19-data-greece,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Covid-19-Response-Greece@covid19-data-greece\data\greece\regional\download_gr_data.py
import,load,geo_department_dict = json.load(f),29,import json,8,json.load,json,data/greece/regional/download_gr_data.py,Covid-19-Response-Greece/covid19-data-greece,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Covid-19-Response-Greece@covid19-data-greece\data\greece\regional\download_gr_data.py
import,load,region_coordinates_dict = json.load(f),32,import json,8,json.load,json,data/greece/regional/download_gr_data.py,Covid-19-Response-Greece/covid19-data-greece,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Covid-19-Response-Greece@covid19-data-greece\data\greece\regional\download_gr_data.py
import,loads,region_info = json.loads(,124,import json,8,json.loads,json,data/greece/regional/download_gr_data.py,Covid-19-Response-Greece/covid19-data-greece,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Covid-19-Response-Greece@covid19-data-greece\data\greece\regional\download_gr_data.py
import,load,area_dict = json.load(f),17,import json,2,json.load,json,data/greece/vaccines/download_vaccines_data.py,Covid-19-Response-Greece/covid19-data-greece,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Covid-19-Response-Greece@covid19-data-greece\data\greece\vaccines\download_vaccines_data.py
import,loads,merged_json = json.loads(merged.to_json()),165,import json,10,json.loads,json,deprecated/analysis/visualizations/choropleth_interactive.py,Covid-19-Response-Greece/covid19-data-greece,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Covid-19-Response-Greece@covid19-data-greece\deprecated\analysis\visualizations\choropleth_interactive.py
