call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,word2idx = pickle.load(wi),18,import pickle,2,pickle.load,pickle,eval.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\eval.py
import,load,char2idx = pickle.load(ci),19,import pickle,2,pickle.load,pickle,eval.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\eval.py
import,load,word_embedding_matrix = pickle.load(wb),20,import pickle,2,pickle.load,pickle,eval.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\eval.py
import,load,char_embedding_matrix = pickle.load(cb),21,import pickle,2,pickle.load,pickle,eval.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\eval.py
assignment_import,load_state_dict,"model.load_state_dict(torch.load(os.path.join(config.squad_models, ""model_final.pkl""))[""state_dict""])",79,"model = BiDAF(word_vectors=word_embedding_matrix,",73,model.BiDAF.load_state_dict,model,eval.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\eval.py
import,load,"model.load_state_dict(torch.load(os.path.join(config.squad_models, ""model_final.pkl""))[""state_dict""])",79,import torch,4,torch.load,torch,eval.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\eval.py
assignment_import,load_state_dict,"model.load_state_dict(torch.load(os.path.join(config.squad_models, ""model_final.pkl""),",81,"model = BiDAF(word_vectors=word_embedding_matrix,",73,model.BiDAF.load_state_dict,model,eval.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\eval.py
import,load,"model.load_state_dict(torch.load(os.path.join(config.squad_models, ""model_final.pkl""),",81,import torch,4,torch.load,torch,eval.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\eval.py
import,load,self.data = json.load(f),60,import json,4,json.load,json,make_dataset.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\make_dataset.py
import,load,word2idx = pickle.load(wi),159,import pickle,7,pickle.load,pickle,make_dataset.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\make_dataset.py
import,load,char2idx = pickle.load(ci),160,import pickle,7,pickle.load,pickle,make_dataset.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\make_dataset.py
import,load,"dev_features = np.load(os.path.join(config.dev_dir, ""dev_features.npz""))",54,import numpy as np,2,numpy.load,numpy,test.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\test.py
import,load,word2idx = pickle.load(f),63,import pickle,3,pickle.load,pickle,test.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\test.py
import,load,word_embedding_matrix = pickle.load(e),69,import pickle,3,pickle.load,pickle,test.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\test.py
import,load,char_embedding_matrix = pickle.load(e),71,import pickle,3,pickle.load,pickle,test.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\test.py
assignment_import,load_state_dict,"model.load_state_dict(torch.load(os.path.join(config.squad_models, ""model_final.pkl""))[""state_dict""])",95,"model = BiDAF(word_vectors=word_embedding_matrix,",89,model.BiDAF.load_state_dict,model,test.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\test.py
import,load,"model.load_state_dict(torch.load(os.path.join(config.squad_models, ""model_final.pkl""))[""state_dict""])",95,import torch,5,torch.load,torch,test.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\test.py
assignment_import,load_state_dict,"model.load_state_dict(torch.load(os.path.join(config.squad_models, ""model_final.pkl""),",97,"model = BiDAF(word_vectors=word_embedding_matrix,",89,model.BiDAF.load_state_dict,model,test.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\test.py
import,load,"model.load_state_dict(torch.load(os.path.join(config.squad_models, ""model_final.pkl""),",97,import torch,5,torch.load,torch,test.py,GauthierDmn/question_answering,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\GauthierDmn@question_answering\test.py
