call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,loads,return cloudpickle.loads(dumped_pickle),21,import cloudpickle,8,cloudpickle.loads,cloudpickle,python-client/giskard/client/io_utils.py,Giskard-AI/giskard,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Giskard-AI@giskard\python-client\giskard\client\io_utils.py
import,loads,unpickled_model = cloudpickle.loads(pickled_model),717,import cloudpickle,4,cloudpickle.loads,cloudpickle,python-client/giskard/client/project.py,Giskard-AI/giskard,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Giskard-AI@giskard\python-client\giskard\client\project.py
assignment_import,fit,"text_explainer.fit(text_document, prediction_function)",80,"text_explainer = TextExplainer(random_state=42, n_samples=n_samples)",72,eli5.lime.TextExplainer.fit,eli5,python-client/giskard/ml_worker/core/model_explanation.py,Giskard-AI/giskard,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Giskard-AI@giskard\python-client\giskard\ml_worker\core\model_explanation.py
import,load,"cloudpickle.load(ZstdDecompressor().stream_reader(model_stream)),",22,import cloudpickle,1,cloudpickle.load,cloudpickle,python-client/giskard/ml_worker/utils/grpc_mapper.py,Giskard-AI/giskard,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Giskard-AI@giskard\python-client\giskard\ml_worker\utils\grpc_mapper.py
import,loads,metadata = json.loads(meta.content),92,import json,1,json.loads,json,python-client/tests/test_upload.py,Giskard-AI/giskard,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Giskard-AI@giskard\python-client\tests\test_upload.py
assignment_import,fit,"clf.fit(X_train, Y_train)",82,"clf = Pipeline(steps=[(""preprocessor"", preprocessor), (""classifier"", LogisticRegression(max_iter=100))])",75,sklearn.pipeline.Pipeline.fit,sklearn,python-client/tests/fixtures/enron_multilabel_classification.py,Giskard-AI/giskard,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Giskard-AI@giskard\python-client\tests\fixtures\enron_multilabel_classification.py
assignment_import,fit,"cb.fit(X_train, Y_train, columns_to_encode)",78,"cb = CatBoostClassifier(iterations=2, learning_rate=1, depth=2)",77,catboost.CatBoostClassifier.fit,catboost,python-client/tests/fixtures/german_credit_scoring.py,Giskard-AI/giskard,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Giskard-AI@giskard\python-client\tests\fixtures\german_credit_scoring.py
assignment_import,fit,"clf.fit(X_train, Y_train)",134,"clf = Pipeline(steps=[(""preprocessor"", preprocessor), (""classifier"", LogisticRegression(max_iter=100))])",127,sklearn.pipeline.Pipeline.fit,sklearn,python-client/tests/fixtures/german_credit_scoring.py,Giskard-AI/giskard,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Giskard-AI@giskard\python-client\tests\fixtures\german_credit_scoring.py
assignment_import,fit,"dummy.fit(X, y)",154,"dummy = DummyClassifier(strategy=""constant"", constant=""Default"")",153,sklearn.dummy.DummyClassifier.fit,sklearn,python-client/tests/fixtures/german_credit_scoring.py,Giskard-AI/giskard,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Giskard-AI@giskard\python-client\tests\fixtures\german_credit_scoring.py
assignment_import,fit,"regressor.fit(diabetes_x_train, diabetes_y_train)",30,regressor = linear_model.LinearRegression(),27,sklearn.linear_model.fit,sklearn,python-client/tests/fixtures/regression.py,Giskard-AI/giskard,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Giskard-AI@giskard\python-client\tests\fixtures\regression.py
