call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
,load,ld_library_path = entry_point.load()(),38,,,entry_point.load,entry_point,python/kwiver/kwiver_tools.py,Kitware/kwiver,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Kitware@kwiver\python\kwiver\kwiver_tools.py
,load,logger_factory = entry_point.load()(),48,,,entry_point.load,entry_point,python/kwiver/kwiver_tools.py,Kitware/kwiver,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Kitware@kwiver\python\kwiver\kwiver_tools.py
import,loads,self.descr_config = json.loads( jsmin( cfg_file.read() ) ),101,import json,99.0,json.loads,json,python/kwiver/sprokit/processes/apply_descriptor.py,Kitware/kwiver,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Kitware@kwiver\python\kwiver\sprokit\processes\apply_descriptor.py
import,load,self._hist_tree = pickle.load(input_file),200,import pickle,36.0,pickle.load,pickle,python/kwiver/sprokit/processes/pytorch/resnet_augmentation.py,Kitware/kwiver,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Kitware@kwiver\python\kwiver\sprokit\processes\pytorch\resnet_augmentation.py
import,load,self._hist_data = pickle.load(input_file),202,import pickle,36.0,pickle.load,pickle,python/kwiver/sprokit/processes/pytorch/resnet_augmentation.py,Kitware/kwiver,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Kitware@kwiver\python\kwiver\sprokit\processes\pytorch\resnet_augmentation.py
import,load,weights = torch.load( alexnet_model_path ),101,import torch,34.0,torch.load,torch,python/kwiver/sprokit/processes/pytorch/utils/alexnet_feature_extractor.py,Kitware/kwiver,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Kitware@kwiver\python\kwiver\sprokit\processes\pytorch\utils\alexnet_feature_extractor.py
assignment_import,load_state_dict,self._alexnet_model.load_state_dict( weights ),103,self._alexnet_model = models.alexnet(),99.0,torchvision.models.load_state_dict,torchvision,python/kwiver/sprokit/processes/pytorch/utils/alexnet_feature_extractor.py,Kitware/kwiver,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Kitware@kwiver\python\kwiver\sprokit\processes\pytorch\utils\alexnet_feature_extractor.py
import,load,weights = torch.load( resnet_model_path ),133,import torch,33.0,torch.load,torch,python/kwiver/sprokit/processes/pytorch/utils/augmented_resnet_feature_extractor.py,Kitware/kwiver,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Kitware@kwiver\python\kwiver\sprokit\processes\pytorch\utils\augmented_resnet_feature_extractor.py
assignment_import,load_state_dict,self._resnet_model.load_state_dict( weights ),134,self._resnet_model = models.resnet50(),131.0,torchvision.models.load_state_dict,torchvision,python/kwiver/sprokit/processes/pytorch/utils/augmented_resnet_feature_extractor.py,Kitware/kwiver,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Kitware@kwiver\python\kwiver\sprokit\processes\pytorch\utils\augmented_resnet_feature_extractor.py
import,load,snapshot = torch.load(app_model),231,import torch,29.0,torch.load,torch,python/kwiver/sprokit/processes/pytorch/utils/models.py,Kitware/kwiver,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Kitware@kwiver\python\kwiver\sprokit\processes\pytorch\utils\models.py
assignment_import,load_state_dict,self.appearance.load_state_dict(snapshot['state_dict']),232,self.appearance = AppearanceLSTM(),229.0,torch.nn.load_state_dict,torch,python/kwiver/sprokit/processes/pytorch/utils/models.py,Kitware/kwiver,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Kitware@kwiver\python\kwiver\sprokit\processes\pytorch\utils\models.py
import,load,snapshot = torch.load(motion_model),240,import torch,29.0,torch.load,torch,python/kwiver/sprokit/processes/pytorch/utils/models.py,Kitware/kwiver,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Kitware@kwiver\python\kwiver\sprokit\processes\pytorch\utils\models.py
assignment_import,load_state_dict,self.motion.load_state_dict(snapshot['state_dict']),241,self.motion = MotionLSTM(),238.0,torch.nn.load_state_dict,torch,python/kwiver/sprokit/processes/pytorch/utils/models.py,Kitware/kwiver,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Kitware@kwiver\python\kwiver\sprokit\processes\pytorch\utils\models.py
