call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,fit,"clf = CalibratedClassifierCV(svm, cv=5).fit(Xtrain, Ytrain)",116,from sklearn.calibration import CalibratedClassifierCV,11,"sklearn.calibration.CalibratedClassifierCV.(svm, cv=5).fit",sklearn,examples/run.py,QData/FastSK,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\QData@FastSK\examples\run.py
import,fit,"self.clf = CalibratedClassifierCV(svm, cv=5).fit(self.Xtrain, self.Ytrain)",485,from sklearn.calibration import CalibratedClassifierCV,8,"sklearn.calibration.CalibratedClassifierCV.(svm, cv=5).fit",sklearn,results/utils.py,QData/FastSK,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\QData@FastSK\results\utils.py
import,fit,"self.clf = CalibratedClassifierCV(svm, cv=5).fit(self.Xtrain, self.Ytrain)",863,from sklearn.calibration import CalibratedClassifierCV,8,"sklearn.calibration.CalibratedClassifierCV.(svm, cv=5).fit",sklearn,results/utils.py,QData/FastSK,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\QData@FastSK\results\utils.py
import,fit,"self.clf = CalibratedClassifierCV(svm, cv=5).fit(self.Xtrain, self.Ytrain)",1039,from sklearn.calibration import CalibratedClassifierCV,8,"sklearn.calibration.CalibratedClassifierCV.(svm, cv=5).fit",sklearn,results/utils.py,QData/FastSK,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\QData@FastSK\results\utils.py
assignment_import,fit,fastsk.fit(),22,"fastsk = FastSK(g=7, m=3, t=16, approx=True, max_iters=75)",18,fastsk.FastSK.fit,fastsk,results/neural_nets/trainsize_varyresults/run_fastsk.py,QData/FastSK,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\QData@FastSK\results\neural_nets\trainsize_varyresults\run_fastsk.py
import,fit,"self.clf = CalibratedClassifierCV(svm, cv=5).fit(self.Xtrain, self.Ytrain)",441,from sklearn.calibration import CalibratedClassifierCV,9,"sklearn.calibration.CalibratedClassifierCV.(svm, cv=5).fit",sklearn,src/fastsk/old_utils.py,QData/FastSK,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\QData@FastSK\src\fastsk\old_utils.py
import,fit,"model = LassoCV(cv=5, n_jobs=t, random_state=293).fit(self.Xtrain, self.Ytrain)",496,from sklearn.linear_model import LassoCV,7,"sklearn.linear_model.LassoCV.(cv=5, n_jobs=t, random_state=293).fit",sklearn,src/fastsk/old_utils.py,QData/FastSK,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\QData@FastSK\src\fastsk\old_utils.py
import,fit,"self.clf = CalibratedClassifierCV(svm, cv=5).fit(self.Xtrain, self.Ytrain)",725,from sklearn.calibration import CalibratedClassifierCV,9,"sklearn.calibration.CalibratedClassifierCV.(svm, cv=5).fit",sklearn,src/fastsk/old_utils.py,QData/FastSK,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\QData@FastSK\src\fastsk\old_utils.py
import,fit,"self.clf = CalibratedClassifierCV(svm, cv=5).fit(self.Xtrain, self.Ytrain)",901,from sklearn.calibration import CalibratedClassifierCV,9,"sklearn.calibration.CalibratedClassifierCV.(svm, cv=5).fit",sklearn,src/fastsk/old_utils.py,QData/FastSK,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\QData@FastSK\src\fastsk\old_utils.py
import,fit,"clf = CalibratedClassifierCV(svm, cv=5).fit(Xtrain, Ytrain)",56,from sklearn.calibration import CalibratedClassifierCV,8,"sklearn.calibration.CalibratedClassifierCV.(svm, cv=5).fit",sklearn,test/run_check.py,QData/FastSK,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\QData@FastSK\test\run_check.py
import,fit,"self.clf = CalibratedClassifierCV(svm, cv=5).fit(self.Xtrain, self.Ytrain)",437,from sklearn.calibration import CalibratedClassifierCV,8,"sklearn.calibration.CalibratedClassifierCV.(svm, cv=5).fit",sklearn,test/utils.py,QData/FastSK,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\QData@FastSK\test\utils.py
import,fit,"self.clf = CalibratedClassifierCV(svm, cv=5).fit(self.Xtrain, self.Ytrain)",672,from sklearn.calibration import CalibratedClassifierCV,8,"sklearn.calibration.CalibratedClassifierCV.(svm, cv=5).fit",sklearn,test/utils.py,QData/FastSK,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\QData@FastSK\test\utils.py
import,fit,"self.clf = CalibratedClassifierCV(svm, cv=5).fit(self.Xtrain, self.Ytrain)",848,from sklearn.calibration import CalibratedClassifierCV,8,"sklearn.calibration.CalibratedClassifierCV.(svm, cv=5).fit",sklearn,test/utils.py,QData/FastSK,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\QData@FastSK\test\utils.py
