call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,bg_img = pygame.image.load('img/bg2.png'),23,import pygame,1,pygame.image.load,pygame,Platfomer/level_editor.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\level_editor.py
import,load,dirt_img = pygame.image.load('img/dirt.png'),25,import pygame,1,pygame.image.load,pygame,Platfomer/level_editor.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\level_editor.py
import,load,grass_img = pygame.image.load('img/grass.png'),26,import pygame,1,pygame.image.load,pygame,Platfomer/level_editor.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\level_editor.py
import,load,blob_img = pygame.image.load('img/ghost.png'),27,import pygame,1,pygame.image.load,pygame,Platfomer/level_editor.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\level_editor.py
import,load,platform_x_img = pygame.image.load('img/platform_x.png'),28,import pygame,1,pygame.image.load,pygame,Platfomer/level_editor.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\level_editor.py
import,load,platform_y_img = pygame.image.load('img/platform_y.png'),29,import pygame,1,pygame.image.load,pygame,Platfomer/level_editor.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\level_editor.py
import,load,lava_img = pygame.image.load('img/lava.png'),30,import pygame,1,pygame.image.load,pygame,Platfomer/level_editor.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\level_editor.py
import,load,coin_img = pygame.image.load('img/coin.png'),31,import pygame,1,pygame.image.load,pygame,Platfomer/level_editor.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\level_editor.py
import,load,exit_img = pygame.image.load('img/exit.png'),32,import pygame,1,pygame.image.load,pygame,Platfomer/level_editor.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\level_editor.py
import,load,save_img = pygame.image.load('img/save_btn.png'),33,import pygame,1,pygame.image.load,pygame,Platfomer/level_editor.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\level_editor.py
import,load,load_img = pygame.image.load('img/load_btn.png'),34,import pygame,1,pygame.image.load,pygame,Platfomer/level_editor.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\level_editor.py
import,load,world_data = pickle.load(pickle_in),182,import pickle,2,pickle.load,pickle,Platfomer/level_editor.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\level_editor.py
import,load,bg_img = pygame.image.load('img/bg2.png'),43,import pygame,1,pygame.image.load,pygame,Platfomer/platformer.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\platformer.py
import,load,restart_img = pygame.image.load('img/restart_btn.png'),44,import pygame,1,pygame.image.load,pygame,Platfomer/platformer.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\platformer.py
import,load,start_img = pygame.image.load('img/start_btn.png'),45,import pygame,1,pygame.image.load,pygame,Platfomer/platformer.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\platformer.py
import,load,exit_img = pygame.image.load('img/exit_btn.png'),46,import pygame,1,pygame.image.load,pygame,Platfomer/platformer.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\platformer.py
import,load,pygame.mixer.music.load('img/MEG.mp3'),52,import pygame,1,pygame.mixer.music.load,pygame,Platfomer/platformer.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\platformer.py
import,load,world_data = pickle.load(pickle_in),80,import pickle,4,pickle.load,pickle,Platfomer/platformer.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\platformer.py
import,load,img_right = pygame.image.load(f'img/guy{num}.png'),247,import pygame,1,pygame.image.load,pygame,Platfomer/platformer.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\platformer.py
import,load,self.dead_image = pygame.image.load('img/ghost.png'),252,import pygame,1,pygame.image.load,pygame,Platfomer/platformer.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\platformer.py
import,load,dirt_img = pygame.image.load('img/dirt.png'),270,import pygame,1,pygame.image.load,pygame,Platfomer/platformer.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\platformer.py
import,load,grass_img = pygame.image.load('img/grass.png'),271,import pygame,1,pygame.image.load,pygame,Platfomer/platformer.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\platformer.py
import,load,self.image = pygame.image.load('img/ghost.png'),330,import pygame,1,pygame.image.load,pygame,Platfomer/platformer.py,SamarthTMSL/HacktoberFest-Projects-and-games,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SamarthTMSL@HacktoberFest-Projects-and-games\Platfomer\platformer.py
