call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load_model,self.model = load_model(,43,from deepspeech_pytorch.utils import load_model,11,deepspeech_pytorch.utils.load_model,deepspeech_pytorch,search_lm_params.py,SeanNaren/deepspeech.pytorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SeanNaren@deepspeech.pytorch\search_lm_params.py
import,load,self.ckpt = torch.load(,47,import torch,6,torch.load,torch,search_lm_params.py,SeanNaren/deepspeech.pytorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SeanNaren@deepspeech.pytorch\search_lm_params.py
import,load,results = json.load(f),13,import json,2,json.load,json,select_lm_params.py,SeanNaren/deepspeech.pytorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SeanNaren@deepspeech.pytorch\select_lm_params.py
import,load_model,model = load_model(,63,"from deepspeech_pytorch.utils import load_model, load_decoder",13,deepspeech_pytorch.utils.load_model,deepspeech_pytorch,server.py,SeanNaren/deepspeech.pytorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SeanNaren@deepspeech.pytorch\server.py
import,load,manifest_json = json.load(manifest_file),30,import json,3,json.load,json,data/merge_manifests.py,SeanNaren/deepspeech.pytorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SeanNaren@deepspeech.pytorch\data\merge_manifests.py
import,load,manifest_json = json.load(manifest_file),14,import json,2,json.load,json,data/verify_manifest.py,SeanNaren/deepspeech.pytorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SeanNaren@deepspeech.pytorch\data\verify_manifest.py
import,load_model,model = load_model(,47,"from deepspeech_pytorch.utils import load_decoder, load_model",12,deepspeech_pytorch.utils.load_model,deepspeech_pytorch,deepspeech_pytorch/inference.py,SeanNaren/deepspeech.pytorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SeanNaren@deepspeech.pytorch\deepspeech_pytorch\inference.py
import,load_model,model = load_model(,15,"from deepspeech_pytorch.utils import load_model, load_decoder",7,deepspeech_pytorch.utils.load_model,deepspeech_pytorch,deepspeech_pytorch/testing.py,SeanNaren/deepspeech.pytorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SeanNaren@deepspeech.pytorch\deepspeech_pytorch\testing.py
import,load,labels = json.load(label_file),17,import json,1,json.load,json,deepspeech_pytorch/training.py,SeanNaren/deepspeech.pytorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SeanNaren@deepspeech.pytorch\deepspeech_pytorch\training.py
assignment_import,fit,"trainer.fit(model, data_loader)",47,trainer = hydra.utils.instantiate(,42,hydra.fit,hydra,deepspeech_pytorch/training.py,SeanNaren/deepspeech.pytorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SeanNaren@deepspeech.pytorch\deepspeech_pytorch\training.py
import,load,"sound, sample_rate = torchaudio.load(path)",21,import torchaudio,12,torchaudio.load,torchaudio,deepspeech_pytorch/loader/data_loader.py,SeanNaren/deepspeech.pytorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SeanNaren@deepspeech.pytorch\deepspeech_pytorch\loader\data_loader.py
import,load,manifest = json.load(f),230,import json,1,json.load,json,deepspeech_pytorch/loader/data_loader.py,SeanNaren/deepspeech.pytorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SeanNaren@deepspeech.pytorch\deepspeech_pytorch\loader\data_loader.py
import,load,manifest = json.load(f),136,import json,1,json.load,json,tests/smoke_test.py,SeanNaren/deepspeech.pytorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SeanNaren@deepspeech.pytorch\tests\smoke_test.py
