call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,loads,payload = signing.loads(self.cleaned_data['payload']),10,from django.core import signing,2,django.core.signing.loads,django,alerts/forms.py,SoloTodo/solotodo_core,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SoloTodo@solotodo_core\alerts\forms.py
import,loads,extra_args = json.loads(self.store.storescraper_extra_args),41,import json,1,json.loads,json,keyword_search_positions/models/keyword_search.py,SoloTodo/solotodo_core,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SoloTodo@solotodo_core\keyword_search_positions\models\keyword_search.py
import,loads,data = json.loads(response.text),183,import json,19,json.loads,json,lg_pricing/views.py,SoloTodo/solotodo_core,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SoloTodo@solotodo_core\lg_pricing\views.py
import,load,d = json.load(f),34,import json,1,json.load,json,solotodo/management/commands/batch_index_es_products.py,SoloTodo/solotodo_core,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SoloTodo@solotodo_core\solotodo\management\commands\batch_index_es_products.py
import,load,reference_prices = json.load(f),13,import json,2,json.load,json,solotodo/management/commands/compare_cyber_prices.py,SoloTodo/solotodo_core,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SoloTodo@solotodo_core\solotodo\management\commands\compare_cyber_prices.py
import,loads,xr_data = json.loads(request.urlopen(url).read().decode(,56,import json,2,json.loads,json,solotodo/models/currency.py,SoloTodo/solotodo_core,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SoloTodo@solotodo_core\solotodo\models\currency.py
import,loads,extra_args = json.loads(self.store.storescraper_extra_args),497,import json,1,json.loads,json,solotodo/models/entity.py,SoloTodo/solotodo_core,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SoloTodo@solotodo_core\solotodo\models\entity.py
import,loads,return json.loads(self.picture_urls),662,import json,1,json.loads,json,solotodo/models/entity.py,SoloTodo/solotodo_core,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SoloTodo@solotodo_core\solotodo\models\entity.py
import,loads,return json.loads(self.video_urls),667,import json,1,json.loads,json,solotodo/models/entity.py,SoloTodo/solotodo_core,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SoloTodo@solotodo_core\solotodo\models\entity.py
import,loads,conditions = json.loads(video.conditions),256,import json,2,json.loads,json,solotodo/models/product.py,SoloTodo/solotodo_core,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SoloTodo@solotodo_core\solotodo\models\product.py
import,fit,neighbors = NearestNeighbors(,382,from sklearn.neighbors import NearestNeighbors,14,sklearn.neighbors.NearestNeighbors.(n_neighbors=n_neighbors).fit,sklearn,solotodo/models/product.py,SoloTodo/solotodo_core,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SoloTodo@solotodo_core\solotodo\models\product.py
import,loads,extra_args = json.loads(self.storescraper_extra_args),118,import json,1,json.loads,json,solotodo/models/store.py,SoloTodo/solotodo_core,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SoloTodo@solotodo_core\solotodo\models\store.py
import,loads,extra_args = json.loads(self.storescraper_extra_args),330,import json,1,json.loads,json,solotodo/models/store.py,SoloTodo/solotodo_core,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SoloTodo@solotodo_core\solotodo\models\store.py
import,loads,return json.loads(stream.read()),10,import json,1,json.loads,json,solotodo_core/drf_parsers.py,SoloTodo/solotodo_core,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\SoloTodo@solotodo_core\solotodo_core\drf_parsers.py
