call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,"props.update( yaml.load(self.other_properties, Loader=yaml.FullLoader) )",162,import yaml,13,yaml.load,yaml,bmsapp/models.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\models.py
import,load,"props.update( yaml.load(self.other_properties, Loader=yaml.FullLoader) )",409,import yaml,13,yaml.load,yaml,bmsapp/models.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\models.py
import,loads,"resp = json.loads(requests.post(url, data=payload).text)",688,import json,2,json.loads,json,bmsapp/models.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\models.py
import,loads,req_data = json.loads(request.body),275,import json,4,json.loads,json,bmsapp/views.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\views.py
import,loads,req_data = json.loads(request.body),313,import json,4,json.loads,json,bmsapp/views.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\views.py
import,loads,req_data = json.loads(request.body),363,import json,4,json.loads,json,bmsapp/views.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\views.py
import,loads,req_data = json.loads(request.body),490,import json,4,json.loads,json,bmsapp/views.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\views.py
import,load,"params = yaml.load(calcParams, Loader=yaml.FullLoader)",166,import yaml,7,yaml.load,yaml,bmsapp/calcs/calcreadings.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\calcs\calcreadings.py
import,loads,obs = json.loads(json_str),86,import json,8,json.loads,json,bmsapp/calcs/internetwx.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\calcs\internetwx.py
import,loads,obs = json.loads(json_str),136,import json,8,json.loads,json,bmsapp/calcs/internetwx.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\calcs\internetwx.py
import,loads,obs = json.loads(json_str),171,import json,8,json.loads,json,bmsapp/calcs/internetwx.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\calcs\internetwx.py
assignment_import,fit,"linear_regressor.fit(temp_array, depth_array)  # perform linear regression",134,linear_regressor = LinearRegression(),131,sklearn.linear_model.LinearRegression.fit,sklearn,bmsapp/calcs/tank_use.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\calcs\tank_use.py
import,load,"params = yaml.load(trans_params, Loader=yaml.FullLoader)",39,import yaml,9,yaml.load,yaml,bmsapp/calcs/transforms.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\calcs\transforms.py
import,load,"self.chart_params = yaml.load(chart_info.parameters, Loader=yaml.FullLoader)",168,import yaml,7,yaml.load,yaml,bmsapp/reports/basechart.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\reports\basechart.py
import,load,plotly_opt = yaml.load(,9,import yaml,6,yaml.load,yaml,bmsapp/reports/chart_config.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\reports\chart_config.py
import,load,"sensors = yaml.load(bldg_info.parameters, Loader=yaml.FullLoader)",37,import yaml,1,yaml.load,yaml,bmsapp/reports/currentvalues_multi.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\reports\currentvalues_multi.py
import,load,"bldg_params = yaml.load(bldg_info.parameters, Loader=yaml.FullLoader)",62,import yaml,3,yaml.load,yaml,bmsapp/reports/normalizedbyddbyft2.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\reports\normalizedbyddbyft2.py
import,load,"bldg_params = yaml.load(bldg_info.parameters, Loader=yaml.FullLoader)",52,import yaml,2,yaml.load,yaml,bmsapp/reports/normalizedbyft2.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\reports\normalizedbyft2.py
import,load,"new_params = yaml.load(param_src, Loader=yaml.FullLoader)",108,import yaml,22,yaml.load,yaml,bmsapp/scripts/run_periodic_scripts.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\scripts\run_periodic_scripts.py
import,load,"params = yaml.load(self.script.script_parameters, Loader=yaml.FullLoader)",151,import yaml,22,yaml.load,yaml,bmsapp/scripts/run_periodic_scripts.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\scripts\run_periodic_scripts.py
import,load,"dump_list = json.load(open(fn_dump, 'r'))",110,import json,24,json.load,json,bmsapp/scripts/transfer_buildings.py,alanmitchell/bmon,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\alanmitchell@bmon\bmsapp\scripts\transfer_buildings.py
