call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,config = json.load(config_file),9,import json,2,json.load,json,python/template/bin/pipe.py,algorithmiaio/langpacks,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\algorithmiaio@langpacks\python\template\bin\pipe.py
import,loads,request = json.loads(line),28,import json,2,json.loads,json,python/template/bin/pipe.py,algorithmiaio/langpacks,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\algorithmiaio@langpacks\python\template\bin\pipe.py
import,load,depObject = json.load(open(args.file)),31,import json,4,json.load,json,r/template/bin/copy-cran-packages.py,algorithmiaio/langpacks,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\algorithmiaio@langpacks\r\template\bin\copy-cran-packages.py
import,load,state['model'] = torch.jit.load(model_path),15,import torch,3,torch.jit.load,torch,templates/python39-mlops-fashionmnist/src/__ALGO__.py,algorithmiaio/langpacks,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\algorithmiaio@langpacks\templates\python39-mlops-fashionmnist\src\__ALGO__.py
import,loads,result_geom = loads(result_str),48,from shapely.wkt import loads,7,shapely.wkt.loads,shapely,templates/solaris-0.1.2/src/Algorithm.py,algorithmiaio/langpacks,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\algorithmiaio@langpacks\templates\solaris-0.1.2\src\Algorithm.py
import,load,lang_model = spacy.load(language),24,import spacy,2,spacy.load,spacy,templates/spacy-2.0.18/src/__ALGO__.py,algorithmiaio/langpacks,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\algorithmiaio@langpacks\templates\spacy-2.0.18\src\__ALGO__.py
import,load,lang_model = spacy.load(language),24,import spacy,2,spacy.load,spacy,templates/spacy-3.0.x/src/__ALGO__.py,algorithmiaio/langpacks,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\algorithmiaio@langpacks\templates\spacy-3.0.x\src\__ALGO__.py
import,load,trt_engine = load(MODEL_PATH),13,"from .auxillary import load, allocate_buffers, do_inference",4,auxillary.load,auxillary,templates/tensorrt-6.0-cuda10.0/src/__ALGO__.py,algorithmiaio/langpacks,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\algorithmiaio@langpacks\templates\tensorrt-6.0-cuda10.0\src\__ALGO__.py
import,loads,json_obj = json.loads(json_line),54,import json,7,json.loads,json,tools/environment_validator.py,algorithmiaio/langpacks,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\algorithmiaio@langpacks\tools\environment_validator.py
import,loads,output = json.loads(buffer.getvalue()),262,import json,7,json.loads,json,tools/environment_validator.py,algorithmiaio/langpacks,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\algorithmiaio@langpacks\tools\environment_validator.py
import,loads,expected = json.loads(expected),263,import json,7,json.loads,json,tools/environment_validator.py,algorithmiaio/langpacks,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\algorithmiaio@langpacks\tools\environment_validator.py
import,load,config = json.load(f),353,import json,7,json.load,json,tools/environment_validator.py,algorithmiaio/langpacks,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\algorithmiaio@langpacks\tools\environment_validator.py
