call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
custom_function,load,self.load(filename),84,"def load(self, filename):",438.0,load.self,load,pianonet/core/custom_multitrack.py,angsten/pianonet,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\angsten@pianonet\pianonet\core\custom_multitrack.py
import,load,with np.load(filename) as loaded:,460,import numpy as np,9.0,numpy.load,numpy,pianonet/core/custom_multitrack.py,angsten/pianonet,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\angsten@pianonet\pianonet\core\custom_multitrack.py
import,loads,info_dict = json.loads(loaded['info.json'].decode('utf-8')),463,import json,5.0,json.loads,json,pianonet/core/custom_multitrack.py,angsten/pianonet,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\angsten@pianonet\pianonet\core\custom_multitrack.py
import,load,pygame.mixer.music.load(midi_file),34,import pygame,4.0,pygame.mixer.music.load,pygame,pianonet/core/midi_tools.py,angsten/pianonet,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\angsten@pianonet\pianonet\core\midi_tools.py
import,load,return json.load(json_file),49,import json,2.0,json.load,json,pianonet/core/misc_tools.py,angsten/pianonet,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\angsten@pianonet\pianonet\core\misc_tools.py
custom_function,load,self.load(file_path=file_path),34,"def load(self, file_path):",159.0,load.self,load,pianonet/core/note_array.py,angsten/pianonet,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\angsten@pianonet\pianonet\core\note_array.py
import,load,loaded_instance = joblib.load(file_path),169,import joblib,2.0,joblib.load,joblib,pianonet/core/note_array.py,angsten/pianonet,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\angsten@pianonet\pianonet\core\note_array.py
import,load,loaded_instance = pickle.load(file),172,import pickle,1.0,pickle.load,pickle,pianonet/core/note_array.py,angsten/pianonet,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\angsten@pianonet\pianonet\core\note_array.py
import,load_model,model = load_model(model_path),15,from tensorflow.keras.models import load_model,1.0,tensorflow.keras.models.load_model,tensorflow,pianonet/model_inspection/performance_from_pianoroll.py,angsten/pianonet,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\angsten@pianonet\pianonet\model_inspection\performance_from_pianoroll.py
import,load,custom_parameters = json.load(json_file),38,import json,15.0,json.load,json,pianonet/scripts/master_note_array_creation.py,angsten/pianonet,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\angsten@pianonet\pianonet\scripts\master_note_array_creation.py
import,load,model_params = pickle.load(params_file),44,import pickle,18.0,pickle.load,pickle,pianonet/scripts/model_generators/basic_convolutional_with_blocks.py,angsten/pianonet,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\angsten@pianonet\pianonet\scripts\model_generators\basic_convolutional_with_blocks.py
,load,self.load(file_path=file_path),45,,,self.load,self,pianonet/training_utils/master_note_array.py,angsten/pianonet,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\angsten@pianonet\pianonet\training_utils\master_note_array.py
import,load_model,self.model = load_model(model_description['model_path']),163,from tensorflow.keras.models import load_model,9.0,tensorflow.keras.models.load_model,tensorflow,pianonet/training_utils/run.py,angsten/pianonet,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\angsten@pianonet\pianonet\training_utils\run.py
import,load_model,self.model = load_model(model_output_path),186,from tensorflow.keras.models import load_model,9.0,tensorflow.keras.models.load_model,tensorflow,pianonet/training_utils/run.py,angsten/pianonet,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\angsten@pianonet\pianonet\training_utils\run.py
,fit,self.model.fit(,418,,,self.model.fit,self,pianonet/training_utils/run.py,angsten/pianonet,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\angsten@pianonet\pianonet\training_utils\run.py
