call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
assignment_unknown,fit_transform,W = init_NMF_model.fit_transform(B),270,"init_NMF_model = center_NMF(n_components=n_components, random_seed=random_seed, dissimilarity=dissimilarity)",269,center_NMF.fit_transform,center_NMF,spateo/alignment/methods/paste.py,aristoteleo/spateo-release,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\aristoteleo@spateo-release\spateo\alignment\methods\paste.py
assignment_unknown,fit_transform,W = NMF_model.fit_transform(B),311,"NMF_model = center_NMF(n_components, random_seed, dissimilarity=dissimilarity)",304,center_NMF.fit_transform,center_NMF,spateo/alignment/methods/paste.py,aristoteleo/spateo-release,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\aristoteleo@spateo-release\spateo\alignment\methods\paste.py
import,load,labels = np.load(labels),331,import numpy as np,9,numpy.load,numpy,spateo/io/bgi.py,aristoteleo/spateo-release,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\aristoteleo@spateo-release\spateo\io\bgi.py
import,load,"labels = np.load(path)[""labels""]",43,import numpy as np,5,numpy.load,numpy,spateo/io/starmap.py,aristoteleo/spateo-release,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\aristoteleo@spateo-release\spateo\io\starmap.py
assignment_import,fit,fit = pca.fit(adata.X.toarray()) if scipy.sparse.issparse(adata.X) else pca.fit(adata.X),1973,pca = PCA(,1968,sklearn.decomposition.PCA.fit,sklearn,spateo/plotting/static/utils.py,aristoteleo/spateo-release,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\aristoteleo@spateo-release\spateo\plotting\static\utils.py
assignment_import,fit,fit = pca.fit(adata.X.toarray()) if scipy.sparse.issparse(adata.X) else pca.fit(adata.X),1973,pca = PCA(,1968,sklearn.decomposition.PCA.fit,sklearn,spateo/plotting/static/utils.py,aristoteleo/spateo-release,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\aristoteleo@spateo-release\spateo\plotting\static\utils.py
import,fit,"pc_kde = KernelDensity(kernel=kernel, bandwidth=bandwidth).fit(coords).score_samples(coords)",109,from sklearn.neighbors import KernelDensity,5,"sklearn.neighbors.KernelDensity.(kernel=kernel, bandwidth=bandwidth).fit",sklearn,spateo/tdr/morphometrics/morphology.py,aristoteleo/spateo-release,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\aristoteleo@spateo-release\spateo\tdr\morphometrics\morphology.py
assignment_import,fit,"pca_project.fit(new_X, nodes=NumNodes, **PrinCurve_kwargs)",232,pca_project = NLPCA(),229,tree.NLPCA.fit,tree,spateo/tdr/widgets/changes.py,aristoteleo/spateo-release,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\aristoteleo@spateo-release\spateo\tdr\widgets\changes.py
custom_function,load,"self.h, self.A, self.B = self.load()",102,def load(self):,333,load.self,load,spateo/tdr/widgets/deep_interpolation.py,aristoteleo/spateo-release,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\aristoteleo@spateo-release\spateo\tdr\widgets\deep_interpolation.py
custom_function,load,self.h = self.load(),104,def load(self):,333,load.self,load,spateo/tdr/widgets/deep_interpolation.py,aristoteleo/spateo-release,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\aristoteleo@spateo-release\spateo\tdr\widgets\deep_interpolation.py
