call_name,line_no,class_instantiation,instantiation_line_no,relative_file_path,repository_name,file_path
self.conv1(x),141,"self.conv1 = nn.Sequential(nn.Conv2d(6, 64, kernel_size=1, bias=False), self.bn1, nn.ReLU())",105,notebooks/model_seg.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\notebooks\model_seg.py
self.conv2(x),142,"self.conv2 = nn.Sequential(nn.Conv2d(64, 64, kernel_size=1, bias=False), self.bn2, nn.ReLU())",108,notebooks/model_seg.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\notebooks\model_seg.py
self.conv3(x),147,"self.conv3 = nn.Sequential(nn.Conv2d(64 * 2, 64, kernel_size=1, bias=False), self.bn3, nn.ReLU())",111,notebooks/model_seg.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\notebooks\model_seg.py
self.conv4(x),148,"self.conv4 = nn.Sequential(nn.Conv2d(64, 64, kernel_size=1, bias=False), self.bn4, nn.ReLU())",114,notebooks/model_seg.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\notebooks\model_seg.py
self.conv5(x),152,"self.conv5 = nn.Sequential(nn.Conv2d(64 * 2, 64, kernel_size=1, bias=False), self.bn5, nn.ReLU())",117,notebooks/model_seg.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\notebooks\model_seg.py
self.conv6(x),153,"self.conv6 = nn.Sequential(nn.Conv2d(64, 64, kernel_size=1, bias=False), self.bn6, nn.ReLU())",120,notebooks/model_seg.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\notebooks\model_seg.py
self.conv7(x),157,"self.conv7 = nn.Sequential(nn.Conv2d(64 * 3, 1024, kernel_size=1, bias=False), self.bn7, nn.ReLU())",123,notebooks/model_seg.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\notebooks\model_seg.py
self.conv8(x),163,"self.conv8 = nn.Sequential(nn.Conv2d(1024 + 64 * 3, 512, kernel_size=1, bias=False), self.bn8, nn.ReLU())",126,notebooks/model_seg.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\notebooks\model_seg.py
self.conv9(x),164,"self.conv9 = nn.Sequential(nn.Conv2d(512, 256, kernel_size=1, bias=False), self.bn9, nn.ReLU())",129,notebooks/model_seg.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\notebooks\model_seg.py
self.block(x),50,self.block = nn.Sequential(*modules),32,sharpf/neural/defs/modeling/model/unet_2d.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\sharpf\neural\defs\modeling\model\unet_2d.py
self.decoder(*features),184,"self.decoder = UnetDecoder2D(encoder_channels=self.encoder.feature_info.channels(), decoder_channels=decoder_channels, decoder_layers=decoder_layers, center=True if encoder_name.startswith('vgg') else False, act_layer=act_layer, norm_layer=norm_layer, decoder_kernel_size=decoder_kernel_size)",159,sharpf/neural/defs/modeling/model/unet_2d.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\sharpf\neural\defs\modeling\model\unet_2d.py
