call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,model = torch.jit.load(model_path),16,import torch,3.0,torch.jit.load,torch,contrib/sharpness_fields/src/compute_sharpness.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\contrib\sharpness_fields\src\compute_sharpness.py
import,load,"features = yaml.load(abc_item.feat, Loader=yaml.Loader)",28,import yaml,9.0,yaml.load,yaml,scripts/data_scripts/compute_abcchunk_statistics.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\compute_abcchunk_statistics.py
import,load,"features = yaml.load(abc_item.feat, Loader=yaml.Loader)",66,import yaml,14.0,yaml.load,yaml,scripts/data_scripts/compute_dataset_statistics.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\compute_dataset_statistics.py
import,load,"features = yaml.load(abc_item.feat, Loader=yaml.Loader)",196,import yaml,14.0,yaml.load,yaml,scripts/data_scripts/compute_dataset_statistics.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\compute_dataset_statistics.py
import,load,"features = yaml.load(abc_item.feat, Loader=yaml.Loader)",233,import yaml,14.0,yaml.load,yaml,scripts/data_scripts/compute_dataset_statistics.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\compute_dataset_statistics.py
import,load,config = json.load(config_file),298,import json,5.0,json.load,json,scripts/data_scripts/compute_dataset_statistics.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\compute_dataset_statistics.py
import,load,"features = yaml.load(abc_item.feat, Loader=yaml.Loader)",68,import yaml,22.0,yaml.load,yaml,scripts/data_scripts/compute_mesh_patches.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\compute_mesh_patches.py
import,load,"features = yaml.load(abc_item.feat, Loader=yaml.Loader)",179,import yaml,22.0,yaml.load,yaml,scripts/data_scripts/compute_mesh_patches.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\compute_mesh_patches.py
import,load,"features = yaml.load(abc_item.feat, Loader=yaml.Loader)",216,import yaml,22.0,yaml.load,yaml,scripts/data_scripts/compute_mesh_patches.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\compute_mesh_patches.py
import,load,config = json.load(config_file),321,import json,11.0,json.load,json,scripts/data_scripts/compute_mesh_patches.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\compute_mesh_patches.py
import,load,"features = yaml.load(item.feat, Loader=yaml.Loader)",213,import yaml,14.0,yaml.load,yaml,scripts/data_scripts/generate_depthmap_data.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\generate_depthmap_data.py
import,load,"features = yaml.load(feats_file, Loader=yaml.Loader)",257,import yaml,14.0,yaml.load,yaml,scripts/data_scripts/generate_depthmap_data.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\generate_depthmap_data.py
import,load,config = json.load(config_file),330,import json,6.0,json.load,json,scripts/data_scripts/generate_depthmap_data.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\generate_depthmap_data.py
import,load,config = json.load(config_file),368,import json,6.0,json.load,json,scripts/data_scripts/generate_depthmap_data.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\generate_depthmap_data.py
import,load,config = json.load(config_file),292,import json,6.0,json.load,json,scripts/data_scripts/generate_fused_depthmap_data.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\generate_fused_depthmap_data.py
import,load,"features = yaml.load(item.feat, Loader=yaml.Loader)",302,import yaml,14.0,yaml.load,yaml,scripts/data_scripts/generate_fused_depthmap_data.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\generate_fused_depthmap_data.py
import,load,config = json.load(config_file),347,import json,6.0,json.load,json,scripts/data_scripts/generate_fused_depthmap_data.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\generate_fused_depthmap_data.py
import,load,"features = yaml.load(feats_file, Loader=yaml.Loader)",361,import yaml,14.0,yaml.load,yaml,scripts/data_scripts/generate_fused_depthmap_data.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\generate_fused_depthmap_data.py
import,load,config = json.load(config_file),254,import json,5.0,json.load,json,scripts/data_scripts/generate_fused_pointcloud_data.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\generate_fused_pointcloud_data.py
import,load,"features = yaml.load(item.feat, Loader=yaml.Loader)",264,import yaml,13.0,yaml.load,yaml,scripts/data_scripts/generate_fused_pointcloud_data.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\generate_fused_pointcloud_data.py
import,load,"features = yaml.load(abc_item.feat, Loader=yaml.Loader)",70,import yaml,9.0,yaml.load,yaml,scripts/data_scripts/generate_parametric_corners.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\generate_parametric_corners.py
import,load,config = json.load(config_file),104,import json,4.0,json.load,json,scripts/data_scripts/generate_parametric_corners.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\generate_parametric_corners.py
import,load,"features = yaml.load(abc_item.feat, Loader=yaml.Loader)",72,import yaml,9.0,yaml.load,yaml,scripts/data_scripts/generate_parametric_edges.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\generate_parametric_edges.py
import,load,config = json.load(config_file),117,import json,4.0,json.load,json,scripts/data_scripts/generate_parametric_edges.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\generate_parametric_edges.py
import,load,"features = yaml.load(item.feat, Loader=yaml.Loader)",90,import yaml,13.0,yaml.load,yaml,scripts/data_scripts/generate_pointcloud_data.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\generate_pointcloud_data.py
import,load,config = json.load(config_file),256,import json,5.0,json.load,json,scripts/data_scripts/generate_pointcloud_data.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\generate_pointcloud_data.py
import,load,"yml_features = yaml.load(BytesIO(yml_file.read()), Loader=yaml.Loader)",257,import yaml,13.0,yaml.load,yaml,scripts/data_scripts/prepare_real_images_dataset.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\prepare_real_images_dataset.py
import,load,"yml_features = yaml.load(BytesIO(yml_file.read()), Loader=yaml.Loader)",228,import yaml,13.0,yaml.load,yaml,scripts/data_scripts/prepare_real_points_dataset.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\prepare_real_points_dataset.py
import,load,"yml_features = yaml.load(BytesIO(yml_file.read()), Loader=yaml.Loader)",285,import yaml,14.0,yaml.load,yaml,scripts/data_scripts/prepare_real_scans.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\prepare_real_scans.py
import,load,"features = yaml.load(item.feat, Loader=yaml.Loader)",62,import yaml,10.0,yaml.load,yaml,scripts/data_scripts/utils/check_models_suitable_for_whole_annotation.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\utils\check_models_suitable_for_whole_annotation.py
import,load,config = json.load(config_file),137,import json,4.0,json.load,json,scripts/data_scripts/utils/check_models_suitable_for_whole_annotation.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\utils\check_models_suitable_for_whole_annotation.py
import,load,"obj=trimesh.load(item.obj, 'obj'))",30,import trimesh,9.0,trimesh.load,trimesh,scripts/data_scripts/utils/dataset_filter.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\utils\dataset_filter.py
import,load,json_config = json.load(filter_config),41,import json,5.0,json.load,json,scripts/data_scripts/utils/dataset_filter.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\utils\dataset_filter.py
import,load,"features = yaml.load(abc_item.feat, Loader=yaml.Loader)",43,import yaml,8.0,yaml.load,yaml,scripts/data_scripts/utils/get_voxels_from_printed_object.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\utils\get_voxels_from_printed_object.py
import,load,"features = yaml.load(feat_file, Loader=yaml.Loader)",180,import yaml,12.0,yaml.load,yaml,scripts/data_scripts/utils/repair_curves_annotations.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\utils\repair_curves_annotations.py
import,load,config = json.load(config_file),307,import json,5.0,json.load,json,scripts/data_scripts/utils/repair_curves_annotations.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\data_scripts\utils\repair_curves_annotations.py
import,load,"config = yaml.load(yml_file.read(), Loader=yaml.Loader)",154,import yaml,9.0,yaml.load,yaml,scripts/fusion/fuse_images.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\fusion\fuse_images.py
import,load,"{'image': image, 'distances': np.load(f)}",59,import numpy as np,13.0,numpy.load,numpy,scripts/fusion/fuse_images_synthetic.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\fusion\fuse_images_synthetic.py
import,load,patches = [{'distances': np.load(f)} for f in datafiles],57,import numpy as np,21.0,numpy.load,numpy,scripts/fusion/fuse_points_synthetic.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\fusion\fuse_points_synthetic.py
assignment_import,fit,fitted_pca = pca.fit(points[not_corners][curves[i]][neighbours[n]]),289,pca = PCA(1),287.0,sklearn.decomposition.PCA.fit,sklearn,scripts/vectorization/topological_graph.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\scripts\vectorization\topological_graph.py
import,load,patches = [{'distances': np.load(f)} for f in datafiles],72,import numpy as np,7.0,numpy.load,numpy,sharpf/fusion/io.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\sharpf\fusion\io.py
assignment_import,fit,"y_pred = pipe.fit(X, y).predict(X)",111,pipe = Pipeline([,105.0,sklearn.pipeline.Pipeline.fit,sklearn,sharpf/fusion/smoothers.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\sharpf\fusion\smoothers.py
import,fit_transform,X_trans = PCA(n_components=2).fit_transform(X),145,from sklearn.decomposition import PCA,11.0,sklearn.decomposition.PCA.(n_components=2).fit_transform,sklearn,sharpf/fusion/smoothers.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\sharpf\fusion\smoothers.py
import,fit_transform,X_trans = PolynomialFeatures(2).fit_transform(X_trans),146,"from sklearn.preprocessing import PolynomialFeatures, StandardScaler",13.0,sklearn.preprocessing.PolynomialFeatures.(2).fit_transform,sklearn,sharpf/fusion/smoothers.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\sharpf\fusion\smoothers.py
function_parameter,fit,"y_pred = estimator.fit(X_trans, y).predict(X_trans)",148,"def local_linear_fit(X, y, estimator):",144.0,local_linear_fit.estimator.fit,local_linear_fit,sharpf/fusion/smoothers.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\sharpf\fusion\smoothers.py
,load_state_dict,"model.load_state_dict(torch.load(preload_weights_path)['state_dict'], strict=True)",38,,,model.load_state_dict,model,sharpf/neural/train_net.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\sharpf\neural\train_net.py
import,load,"model.load_state_dict(torch.load(preload_weights_path)['state_dict'], strict=True)",38,import torch,7.0,torch.load,torch,sharpf/neural/train_net.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\sharpf\neural\train_net.py
,fit,trainer.fit(model),42,,,trainer.fit,trainer,sharpf/neural/train_net.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\sharpf\neural\train_net.py
,load_state_dict,"model.load_state_dict(torch.load(test_weights_path)['state_dict'], strict=True)",52,,,model.load_state_dict,model,sharpf/neural/train_net.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\sharpf\neural\train_net.py
import,load,"model.load_state_dict(torch.load(test_weights_path)['state_dict'], strict=True)",52,import torch,7.0,torch.load,torch,sharpf/neural/train_net.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\sharpf\neural\train_net.py
import,loads,data_list.append(pickle.loads(buffer)),148,import pickle,8.0,pickle.loads,pickle,sharpf/neural/defs/utils/comm.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\sharpf\neural\defs\utils\comm.py
import,loads,data_list.append(pickle.loads(buffer)),189,import pickle,8.0,pickle.loads,pickle,sharpf/neural/defs/utils/comm.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\sharpf\neural\defs\utils\comm.py
import,load,"points = trimesh.load(os.path.join(base_dir, filename)).vertices",49,import trimesh,6.0,trimesh.load,trimesh,sharpf/utils/convertor_utils/meshlab_project_parsers.py,artonson/def,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\artonson@def\sharpf\utils\convertor_utils\meshlab_project_parsers.py
