call_name,line_no,class_instantiation,instantiation_line_no,relative_file_path,repository_name,file_path
self.conv(x),48,"self.conv = nn.Conv2d(c1, c2, k, s, autopad(k, p), groups=g, bias=False)",40,yolov5/models/common.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\models\common.py
self.m(self.cv1(inputs)),152,"self.m = keras.Sequential([TFBottleneck(c_, c_, shortcut, g, e=1.0, w=w.m[j]) for j in range(n)])",149,yolov5/models/tf.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\models\tf.py
self.m(self.cv1(inputs)),169,"self.m = keras.Sequential([TFBottleneck(c_, c_, shortcut, g, e=1.0, w=w.m[j]) for j in range(n)])",149,yolov5/models/tf.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\models\tf.py
self.m(self.cv1(inputs)),169,"self.m = keras.Sequential([TFBottleneck(c_, c_, shortcut, g, e=1.0, w=w.m[j]) for j in range(n)])",166,yolov5/models/tf.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\models\tf.py
self.m(x),197,"self.m = keras.Sequential([TFBottleneck(c_, c_, shortcut, g, e=1.0, w=w.m[j]) for j in range(n)])",149,yolov5/models/tf.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\models\tf.py
self.m(x),197,"self.m = keras.Sequential([TFBottleneck(c_, c_, shortcut, g, e=1.0, w=w.m[j]) for j in range(n)])",166,yolov5/models/tf.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\models\tf.py
self.m(y1),198,"self.m = keras.Sequential([TFBottleneck(c_, c_, shortcut, g, e=1.0, w=w.m[j]) for j in range(n)])",149,yolov5/models/tf.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\models\tf.py
self.m(y1),198,"self.m = keras.Sequential([TFBottleneck(c_, c_, shortcut, g, e=1.0, w=w.m[j]) for j in range(n)])",166,yolov5/models/tf.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\models\tf.py
self.m(y2),199,"self.m = keras.Sequential([TFBottleneck(c_, c_, shortcut, g, e=1.0, w=w.m[j]) for j in range(n)])",149,yolov5/models/tf.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\models\tf.py
self.m(y2),199,"self.m = keras.Sequential([TFBottleneck(c_, c_, shortcut, g, e=1.0, w=w.m[j]) for j in range(n)])",166,yolov5/models/tf.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\models\tf.py
m(*args),290,m = AutoShape(self),230,yolov5/models/yolo.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\models\yolo.py
m(*args),290,m = AutoShape(self),230,yolov5/models/yolo.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\models\yolo.py
model(imgs),315,model = torch.nn.DataParallel(model),202,yolov5/train.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\train.py
