call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,"state_dict = torch.load(load_path, map_location=str(self.device))",192,import torch,2.0,torch.load,torch,pix2pixGAN/models/base_model.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\pix2pixGAN\models\base_model.py
assignment_unknown,load_state_dict,net.load_state_dict(state_dict),199,net = net.module,188.0,net.load_state_dict,net,pix2pixGAN/models/base_model.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\pix2pixGAN\models\base_model.py
import,load_weights,"load_ops = load_weights(tf.global_variables(), darknet_weights)",13,from from_darknet_weights_to_ckpt import load_weights,3.0,from_darknet_weights_to_ckpt.load_weights,from_darknet_weights_to_ckpt,yolov3/from_darknet_weights_to_pb.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov3\from_darknet_weights_to_pb.py
import,load,predictions_data = json.load(open(predictions_file)),429,import json,2.0,json.load,json,yolov3/mAP/main.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov3\mAP\main.py
import,load,ground_truth_data = json.load(open(gt_file)),464,import json,2.0,json.load,json,yolov3/mAP/main.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov3\mAP\main.py
import,load,data = json.load(open(tmp_file)),26,import json,4.0,json.load,json,yolov3/mAP/extra/convert_pred_darkflow_json.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov3\mAP\extra\convert_pred_darkflow_json.py
import,load,"model = torch.jit.load(w) if 'torchscript' in w else attempt_load(weights, map_location=device)",82,import torch,16.0,torch.jit.load,torch,yolov5/detect.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\detect.py
assignment_import,load_state_dict,"modelc.load_state_dict(torch.load('resnet50.pt', map_location=device)['model']).to(device).eval()",89,"modelc = load_classifier(name='resnet50', n=2)  # initialize",88.0,utils.torch_utils.load_classifier.load_state_dict,utils,yolov5/detect.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\detect.py
import,load,"modelc.load_state_dict(torch.load('resnet50.pt', map_location=device)['model']).to(device).eval()",89,import torch,16.0,torch.load,torch,yolov5/detect.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\detect.py
import,load_model,model = tf.keras.models.load_model(w),111,import tensorflow as tf,100.0,tensorflow.keras.models.load_model,tensorflow,yolov5/detect.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\detect.py
import,load,model_onnx = onnx.load(f)  # load onnx model,83,import onnx,68.0,onnx.load,onnx,yolov5/export.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\export.py
import,load,"ckpt = torch.load(attempt_download(path), map_location=device)  # load",51,import torch,10.0,torch.load,torch,yolov5/hubconf.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\hubconf.py
assignment_import,load_state_dict,"model.load_state_dict(csd, strict=False)  # load",55,"model = Model(cfg, channels, classes)  # create model",49.0,models.yolo.Model.load_state_dict,models,yolov5/hubconf.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\hubconf.py
import,load,"ckpt = torch.load(weights, map_location=device)  # load checkpoint",116,import torch,20.0,torch.load,torch,yolov5/train.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\train.py
assignment_unknown,load_state_dict,"model.load_state_dict(csd, strict=False)  # load",121,"model = Model(cfg or ckpt['model'].yaml, ch=3, nc=nc, anchors=hyp.get('anchors')).to(device)  # create",117.0,"Model(cfg or ckpt['model'].yaml, ch=3, nc=nc, anchors=hyp.get('anchors')).to.load_state_dict",Model(cfg or ckpt['model'],yolov5/train.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\train.py
assignment_import,load_state_dict,optimizer.load_state_dict(ckpt['optimizer']),175,"optimizer = SGD(g0, lr=hyp['lr0'], momentum=hyp['momentum'], nesterov=True)",152.0,torch.optim.SGD.load_state_dict,torch,yolov5/train.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\train.py
,load_state_dict,ema.ema.load_state_dict(ckpt['ema'].float().state_dict()),180,,,ema.ema.load_state_dict,ema,yolov5/train.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\train.py
import,load,"ckpt = torch.load(attempt_download(w), map_location=map_location)  # load",94,import torch,7.0,torch.load,torch,yolov5/models/experimental.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\models\experimental.py
import,load,"self.yaml = yaml.load(f, Loader=yaml.FullLoader)  # model dict",335,import yaml  # for torch hub,332.0,yaml.load,yaml,yolov5/models/tf.py,bupt-ai-cz/LLVIP,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\bupt-ai-cz@LLVIP\yolov5\models\tf.py
