call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,"_, _, G_jr = pickle.load(jr_model)",47,import pickle,5.0,pickle.load,pickle,final_tool/facepic_generator.py,colinrsmall/This-Hockey-Player-Does-Not-Exist,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\colinrsmall@This-Hockey-Player-Does-Not-Exist\final_tool\facepic_generator.py
import,load,"_, _, G_sr = pickle.load(sr_model)",48,import pickle,5.0,pickle.load,pickle,final_tool/facepic_generator.py,colinrsmall/This-Hockey-Player-Does-Not-Exist,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\colinrsmall@This-Hockey-Player-Does-Not-Exist\final_tool\facepic_generator.py
import,load,"submit_config: dnnlib.SubmitConfig = pickle.load(open(submit_config_path, ""rb""))",36,import pickle,16.0,pickle.load,pickle,final_tool/dnnlib/submission/_internal/run.py,colinrsmall/This-Hockey-Player-Does-Not-Exist,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\colinrsmall@This-Hockey-Player-Does-Not-Exist\final_tool\dnnlib\submission\_internal\run.py
import,load,"data = pickle.load(file, encoding='latin1')",337,import pickle,332.0,pickle.load,pickle,stylegan-master/dataset_tool.py,colinrsmall/This-Hockey-Player-Does-Not-Exist,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\colinrsmall@This-Hockey-Player-Does-Not-Exist\stylegan-master\dataset_tool.py
import,load,"data = pickle.load(file, encoding='latin1')",361,import pickle,359.0,pickle.load,pickle,stylegan-master/dataset_tool.py,colinrsmall/This-Hockey-Player-Does-Not-Exist,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\colinrsmall@This-Hockey-Player-Does-Not-Exist\stylegan-master\dataset_tool.py
import,load,"data = pickle.load(file, encoding='latin1')",386,import pickle,381.0,pickle.load,pickle,stylegan-master/dataset_tool.py,colinrsmall/This-Hockey-Player-Does-Not-Exist,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\colinrsmall@This-Hockey-Player-Does-Not-Exist\stylegan-master\dataset_tool.py
import,load,tfr.add_labels(np.load(npy_filename)[order]),546,import numpy as np,18.0,numpy.load,numpy,stylegan-master/dataset_tool.py,colinrsmall/This-Hockey-Player-Does-Not-Exist,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\colinrsmall@This-Hockey-Player-Does-Not-Exist\stylegan-master\dataset_tool.py
import,load,"_G, _D, Gs = pickle.load(f)",34,import pickle,11.0,pickle.load,pickle,stylegan-master/generate_figures.py,colinrsmall/This-Hockey-Player-Does-Not-Exist,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\colinrsmall@This-Hockey-Player-Does-Not-Exist\stylegan-master\generate_figures.py
import,load,"_G, _D, Gs = pickle.load(f)",25,import pickle,11.0,pickle.load,pickle,stylegan-master/pretrained_example.py,colinrsmall/This-Hockey-Player-Does-Not-Exist,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\colinrsmall@This-Hockey-Player-Does-Not-Exist\stylegan-master\pretrained_example.py
import,load,"submit_config: dnnlib.SubmitConfig = pickle.load(open(submit_config_path, ""rb""))",36,import pickle,16.0,pickle.load,pickle,stylegan-master/dnnlib/submission/_internal/run.py,colinrsmall/This-Hockey-Player-Does-Not-Exist,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\colinrsmall@This-Hockey-Player-Does-Not-Exist\stylegan-master\dnnlib\submission\_internal\run.py
assignment_import,fit,"svm.fit(svm_inputs, svm_targets)",162,svm = sklearn.svm.LinearSVC(),161.0,sklearn.svm.fit,sklearn,stylegan-master/metrics/linear_separability.py,colinrsmall/This-Hockey-Player-Does-Not-Exist,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\colinrsmall@This-Hockey-Player-Does-Not-Exist\stylegan-master\metrics\linear_separability.py
import,load,self._np_labels = np.load(self.label_file),105,import numpy as np,12.0,numpy.load,numpy,stylegan-master/training/dataset.py,colinrsmall/This-Hockey-Player-Does-Not-Exist,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\colinrsmall@This-Hockey-Player-Does-Not-Exist\stylegan-master\training\dataset.py
import,load,"return pickle.load(file, encoding='latin1')",33,import pickle,12.0,pickle.load,pickle,stylegan-master/training/misc.py,colinrsmall/This-Hockey-Player-Does-Not-Exist,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\colinrsmall@This-Hockey-Player-Does-Not-Exist\stylegan-master\training\misc.py
