call_name,line_no,class_instantiation,instantiation_line_no,relative_file_path,repository_name,file_path
"model(inputs, masked_lm_labels=labels)",362,model = torch.nn.DataParallel(model),298,src/run_lm.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\run_lm.py
"model(inputs, labels=labels)",362,model = torch.nn.DataParallel(model),298,src/run_lm.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\run_lm.py
"model(inputs, masked_lm_labels=labels)",362,"model = torch.nn.parallel.DistributedDataParallel(model, device_ids=[args.local_rank], output_device=args.local_rank, find_unused_parameters=True)",302,src/run_lm.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\run_lm.py
"model(inputs, labels=labels)",362,"model = torch.nn.parallel.DistributedDataParallel(model, device_ids=[args.local_rank], output_device=args.local_rank, find_unused_parameters=True)",302,src/run_lm.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\run_lm.py
"model(inputs, masked_lm_labels=labels)",472,model = torch.nn.DataParallel(model),298,src/run_lm.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\run_lm.py
"model(inputs, labels=labels)",472,model = torch.nn.DataParallel(model),298,src/run_lm.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\run_lm.py
"model(inputs, masked_lm_labels=labels)",472,"model = torch.nn.parallel.DistributedDataParallel(model, device_ids=[args.local_rank], output_device=args.local_rank, find_unused_parameters=True)",302,src/run_lm.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\run_lm.py
"model(inputs, labels=labels)",472,"model = torch.nn.parallel.DistributedDataParallel(model, device_ids=[args.local_rank], output_device=args.local_rank, find_unused_parameters=True)",302,src/run_lm.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\run_lm.py
"model(inputs, masked_lm_labels=labels)",472,model = torch.nn.DataParallel(model),456,src/run_lm.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\run_lm.py
"model(inputs, labels=labels)",472,model = torch.nn.DataParallel(model),456,src/run_lm.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\run_lm.py
model(**inputs),147,model = torch.nn.DataParallel(model),83,src/train.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\train.py
model(**inputs),147,"model = torch.nn.parallel.DistributedDataParallel(model, device_ids=[args.local_rank], output_device=args.local_rank, find_unused_parameters=True)",87,src/train.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\train.py
