call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,vocab = json.load(vocab_fp),75,import json,6,json.load,json,src/convert_roberta_dict.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\convert_roberta_dict.py
assignment_import,load_state_dict,"optimizer.load_state_dict(torch.load(os.path.join(args.model_name_or_path, ""optimizer.pt"")))",286,"optimizer = AdamW(optimizer_grouped_parameters, lr=args.learning_rate, eps=args.adam_epsilon)",274,transformers.AdamW.load_state_dict,transformers,src/run_lm.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\run_lm.py
import,load,"optimizer.load_state_dict(torch.load(os.path.join(args.model_name_or_path, ""optimizer.pt"")))",286,import torch,34,torch.load,torch,src/run_lm.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\run_lm.py
assignment_import,load_state_dict,"scheduler.load_state_dict(torch.load(os.path.join(args.model_name_or_path, ""scheduler.pt"")))",287,scheduler = get_linear_schedule_with_warmup(,275,transformers.get_linear_schedule_with_warmup.load_state_dict,transformers,src/run_lm.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\run_lm.py
import,load,"scheduler.load_state_dict(torch.load(os.path.join(args.model_name_or_path, ""scheduler.pt"")))",287,import torch,34,torch.load,torch,src/run_lm.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\run_lm.py
import,load,self.examples = pickle.load(handle),24,import pickle,3,pickle.load,pickle,src/textdataset.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\textdataset.py
assignment_import,load_state_dict,"optimizer.load_state_dict(torch.load(os.path.join(args.model_name_or_path, ""optimizer.pt"")))",71,"optimizer = AdamW(optimizer_grouped_parameters, lr=args.learning_rate, eps=args.adam_epsilon)",61,transformers.AdamW.load_state_dict,transformers,src/train.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\train.py
import,load,"optimizer.load_state_dict(torch.load(os.path.join(args.model_name_or_path, ""optimizer.pt"")))",71,import torch,2,torch.load,torch,src/train.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\train.py
assignment_import,load_state_dict,"scheduler.load_state_dict(torch.load(os.path.join(args.model_name_or_path, ""scheduler.pt"")))",72,scheduler = get_linear_schedule_with_warmup(,62,transformers.get_linear_schedule_with_warmup.load_state_dict,transformers,src/train.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\train.py
import,load,"scheduler.load_state_dict(torch.load(os.path.join(args.model_name_or_path, ""scheduler.pt"")))",72,import torch,2,torch.load,torch,src/train.py,iPieter/RobBERT,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\iPieter@RobBERT\src\train.py
