call_name,line_no,class_instantiation,instantiation_line_no,relative_file_path,repository_name,file_path
self.mention_start_classifier(start_mention_reps),281,"self.mention_start_classifier = Linear(self.ffnn_size, 1)",96,src/REL/crel/s2e_pe/modeling.py,informagi/REL,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\informagi@REL\src\REL\crel\s2e_pe\modeling.py
self.mention_end_classifier(end_mention_reps),286,"self.mention_end_classifier = Linear(self.ffnn_size, 1)",97,src/REL/crel/s2e_pe/modeling.py,informagi/REL,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\informagi@REL\src\REL\crel\s2e_pe\modeling.py
self.mention_s2e_classifier(start_mention_reps),290,"self.mention_s2e_classifier = Linear(self.ffnn_size, self.ffnn_size)",98,src/REL/crel/s2e_pe/modeling.py,informagi/REL,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\informagi@REL\src\REL\crel\s2e_pe\modeling.py
self.antecedent_s2s_classifier(top_k_start_coref_reps),312,"self.antecedent_s2s_classifier = Linear(self.ffnn_size, self.ffnn_size)",100,src/REL/crel/s2e_pe/modeling.py,informagi/REL,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\informagi@REL\src\REL\crel\s2e_pe\modeling.py
self.antecedent_e2e_classifier(top_k_end_coref_reps),320,"self.antecedent_e2e_classifier = Linear(self.ffnn_size, self.ffnn_size)",101,src/REL/crel/s2e_pe/modeling.py,informagi/REL,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\informagi@REL\src\REL\crel\s2e_pe\modeling.py
self.antecedent_s2e_classifier(top_k_start_coref_reps),328,"self.antecedent_s2e_classifier = Linear(self.ffnn_size, self.ffnn_size)",102,src/REL/crel/s2e_pe/modeling.py,informagi/REL,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\informagi@REL\src\REL\crel\s2e_pe\modeling.py
self.antecedent_e2s_classifier(top_k_end_coref_reps),336,"self.antecedent_e2s_classifier = Linear(self.ffnn_size, self.ffnn_size)",103,src/REL/crel/s2e_pe/modeling.py,informagi/REL,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\informagi@REL\src\REL\crel\s2e_pe\modeling.py
self.score_combine_linear_1(inputs),162,"self.score_combine_linear_1 = torch.nn.Linear(2, self.config['hid_dims'])",70,src/REL/mulrel_ranker.py,informagi/REL,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\informagi@REL\src\REL\mulrel_ranker.py
self.score_combine_linear_2(hidden),164,"self.score_combine_linear_2 = torch.nn.Linear(self.config['hid_dims'], 1)",72,src/REL/mulrel_ranker.py,informagi/REL,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\informagi@REL\src\REL\mulrel_ranker.py
self.score_combine(inputs),252,"self.score_combine = torch.nn.Sequential(torch.nn.Linear(2, self.config['hid_dims']), torch.nn.ReLU(), torch.nn.Linear(self.config['hid_dims'], 1))",104,src/REL/mulrel_ranker.py,informagi/REL,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\informagi@REL\src\REL\mulrel_ranker.py
self.ctx_layer(bow_ctx_vecs),267,"self.ctx_layer = torch.nn.Sequential(torch.nn.Linear(self.config['emb_dims'] * 3, self.config['emb_dims']), torch.nn.Tanh(), torch.nn.Dropout(p=self.config['dropout_rate']))",87,src/REL/mulrel_ranker.py,informagi/REL,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\informagi@REL\src\REL\mulrel_ranker.py
self.score_combine(inputs),360,"self.score_combine = torch.nn.Sequential(torch.nn.Linear(2, self.config['hid_dims']), torch.nn.ReLU(), torch.nn.Linear(self.config['hid_dims'], 1))",104,src/REL/mulrel_ranker.py,informagi/REL,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\informagi@REL\src\REL\mulrel_ranker.py
