call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,"return json.load(open('config\\' + json_name, 'r'))",18,import json,1.0,json.load,json,dev_tools/unit.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\dev_tools\unit.py
import,load,list1 = pickle.load(fp),84,"import ctypes, pickle",51.0,pickle.load,pickle,dev_tools/unit.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\dev_tools\unit.py
,load,"json_item = json.load(open(json_file[""value""], 'r', encoding='utf-8'))",17,,,json.load,json,source/config.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\config.py
,load,"config_file = json.load(open(config_file_path, 'r', encoding='utf-8'))",38,,,json.load,json,source/config.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\config.py
,load,"template_json = json.load(open(template_file[""value""], 'r', encoding='utf-8'))",39,,,json.load,json,source/config.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\config.py
,load,"template_json = json.load(open(template_file[""value""], 'r', encoding='utf-8'))",59,,,json.load,json,source/config.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\config.py
import,load,"return json.load(open(all_path, 'r', encoding='utf-8'))",57,import json,1.0,json.load,json,source/util.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\util.py
import,load,"return json.load(open(all_path, 'r', encoding='utf-8'))",64,import json,1.0,json.load,json,source/util.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\util.py
import,loads,rt_list = json.loads(text),175,import json,1.0,json.loads,json,source/util.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\util.py
import,loads,"return json.dumps(json.loads(j1), sort_keys=True) == json.dumps(json.loads(j2), sort_keys=True)",217,import json,1.0,json.loads,json,source/util.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\util.py
import,loads,"return json.dumps(json.loads(j1), sort_keys=True) == json.dumps(json.loads(j2), sort_keys=True)",217,import json,1.0,json.loads,json,source/util.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\util.py
import,load,"j = json.load(open(os.path.join(path, f), 'r', encoding='utf-8'))",546,import json,1.0,json.load,json,source/util.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\util.py
import,load,"ckpt = torch.load(ckpt_file, map_location=""cpu"")",387,import torch,20.0,torch.load,torch,source/api/yolox_api.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\api\yolox_api.py
assignment_unknown,load_state_dict,"model.load_state_dict(ckpt[""model""])",389,model = exp.get_model(),370.0,exp.get_model.load_state_dict,exp,source/api/yolox_api.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\api\yolox_api.py
import,load,"ckpt = torch.load(ckpt_file, map_location=""cpu"")",474,import torch,20.0,torch.load,torch,source/api/yolox_api.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\api\yolox_api.py
assignment_unknown,load_state_dict,"model.load_state_dict(ckpt[""model""])",477,model = self.exp.get_model(),457.0,self.exp.get_model.load_state_dict,self,source/api/yolox_api.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\api\yolox_api.py
import,loads,return json.loads(s),49,import json,1.0,json.loads,json,source/device/alas/config_utils.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\device\alas\config_utils.py
assignment_import,fit,my_pwlf.fit(i),19,"my_pwlf = pwlf.PiecewiseLinFit(x,y)",16.0,pwlf.fit,pwlf,source/dev_tool/caculate_break_points.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\dev_tool\caculate_break_points.py
import,load,characters = json5.load(f),5,import json5,2.0,json5.load,json5,source/dev_tool/lang_data_modify.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\dev_tool\lang_data_modify.py
import,load,"jso = json.load(open(os.path.join(root_path, ""config\\settings\\dm.json""), 'r', encoding='utf-8'))",15,"import threading, json, os",3.0,json.load,json,source/interaction/bit32_dll_bridge_server.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\interaction\bit32_dll_bridge_server.py
assignment_import,fit,print(my_pwlf.fit(4)),23,"my_pwlf = pwlf.PiecewiseLinFit(x,y)",19.0,pwlf.fit,pwlf,source/test/test248.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\test\test248.py
import,load,data = json5.load(f),7,import json5,2.0,json5.load,json5,source/test/test254.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\test\test254.py
import,load,j = json.load(f),376,import json,6.0,json.load,json,source/webio/pages.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\webio\pages.py
import,load,doc = json.load(f),384,import json,6.0,json.load,json,source/webio/pages.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\webio\pages.py
import,load,doc = json.load(f),387,import json,6.0,json.load,json,source/webio/pages.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\webio\pages.py
import,load,"j = json.load(open(self.file_name, 'r', encoding='utf8'))",398,import json,6.0,json.load,json,source/webio/pages.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\webio\pages.py
import,load,"j = json.load(open(self.file_name, 'r', encoding='utf8'))",440,import json,6.0,json.load,json,source/webio/pages.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\webio\pages.py
import,load,"j = self.get_json(json.load(open(self.file_name, 'r', encoding='utf8')))",646,import json,6.0,json.load,json,source/webio/pages.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\webio\pages.py
,load,self.page_dict[idx].load(),56,,,self.page_dict[idx].load,self,source/webio/page_manager.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\source\webio\page_manager.py
import,load,"ckpt = torch.load(ckpt_file, map_location=self.device)",292,import torch,10.0,torch.load,torch,yolox/core/trainer.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\yolox\core\trainer.py
function_parameter,load_state_dict,"model.load_state_dict(ckpt[""model""])",294,"def resume_train(self, model):",284.0,resume_train.model.load_state_dict,resume_train,yolox/core/trainer.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\yolox\core\trainer.py
,load_state_dict,"self.optimizer.load_state_dict(ckpt[""optimizer""])",295,,,self.optimizer.load_state_dict,self,yolox/core/trainer.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\yolox\core\trainer.py
import,load,"ckpt = torch.load(ckpt_file, map_location=self.device)[""model""]",313,import torch,10.0,torch.load,torch,yolox/core/trainer.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\yolox\core\trainer.py
assignment_import,load_state_dict,model_trt.load_state_dict(torch.load(trt_file)),154,model_trt = TRTModule(),153.0,torch2trt.TRTModule.load_state_dict,torch2trt,yolox/evaluators/coco_evaluator.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\yolox\evaluators\coco_evaluator.py
import,load,model_trt.load_state_dict(torch.load(trt_file)),154,import torch,18.0,torch.load,torch,yolox/evaluators/coco_evaluator.py,infstellar/genshin_impact_assistant,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\infstellar@genshin_impact_assistant\yolox\evaluators\coco_evaluator.py
