call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,loads,data = json.loads(response.data),276,import json,16,json.loads,json,backend/api/v1/python_http_client/kfp_tekton_server_api/api_client.py,kubeflow/kfp-tekton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kubeflow@kfp-tekton\backend\api\v1\python_http_client\kfp_tekton_server_api\api_client.py
import,loads,artifacts = json.loads(obj.metadata.annotations[TEKTON_INPUT_ARTIFACT_ANNOTATION_KEY]),155,import json,15,json.loads,json,backend/metadata_writer/src/metadata_writer.py,kubeflow/kfp-tekton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kubeflow@kfp-tekton\backend\metadata_writer\src\metadata_writer.py
import,loads,return json.loads(obj.metadata.annotations[ARGO_TEMPLATE_ANNOTATION_KEY]),175,import json,15,json.loads,json,backend/metadata_writer/src/metadata_writer.py,kubeflow/kfp-tekton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kubeflow@kfp-tekton\backend\metadata_writer\src\metadata_writer.py
import,loads,artifacts = json.loads(obj.metadata.annotations[TEKTON_OUTPUT_ARTIFACT_ANNOTATION_KEY]),183,import json,15,json.loads,json,backend/metadata_writer/src/metadata_writer.py,kubeflow/kfp-tekton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kubeflow@kfp-tekton\backend\metadata_writer\src\metadata_writer.py
import,loads,return json.loads(obj.metadata.annotations[ARGO_OUTPUTS_ANNOTATION_KEY]),204,import json,15,json.loads,json,backend/metadata_writer/src/metadata_writer.py,kubeflow/kfp-tekton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kubeflow@kfp-tekton\backend\metadata_writer\src\metadata_writer.py
import,loads,component_spec = json.loads(component_spec_text),276,import json,15,json.loads,json,backend/metadata_writer/src/metadata_writer.py,kubeflow/kfp-tekton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kubeflow@kfp-tekton\backend\metadata_writer\src\metadata_writer.py
import,loads,component_spec = json.loads(component_spec_text),283,import json,15,json.loads,json,backend/metadata_writer/src/metadata_writer.py,kubeflow/kfp-tekton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kubeflow@kfp-tekton\backend\metadata_writer\src\metadata_writer.py
import,loads,parameter_arguments = json.loads(parameter_arguments_json),308,import json,15,json.loads,json,backend/metadata_writer/src/metadata_writer.py,kubeflow/kfp-tekton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kubeflow@kfp-tekton\backend\metadata_writer\src\metadata_writer.py
import,loads,"arguments[""arguments""] = json.loads(arguments.get(""arguments""))",68,import json,17,json.loads,json,backend/src/apiserver/visualization/server.py,kubeflow/kfp-tekton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kubeflow@kfp-tekton\backend\src\apiserver\visualization\server.py
import,loads,schema = json.loads(file_io.read_file_to_string(schema_file)),42,import json,15,json.loads,json,backend/src/apiserver/visualization/types/roc_curve.py,kubeflow/kfp-tekton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kubeflow@kfp-tekton\backend\src\apiserver\visualization\types\roc_curve.py
