call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,"unique_features_dict = pickle.load(open(input_path, 'rb'))",26,import pickle,3.0,pickle.load,pickle,join_dicts.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\join_dicts.py
,load_weights,self.model.load_weights(path),44,,,self.model.load_weights,self,krnnt/keras_models.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\keras_models.py
import,load_model,self.model = keras.models.load_model(path),48,import keras,5.0,keras.models.load_model,keras,krnnt/keras_models.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\keras_models.py
custom_function,load,self.load(),255,"def load(self, path):",403.0,load.self,load,krnnt/new.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\new.py
import,load,"return pickle.load(open(self.output_path(), 'rb'))",256,import pickle,6.0,pickle.load,pickle,krnnt/new.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\new.py
import,load,"self.gpp = pickle.load(open(path, 'rb'))",270,import pickle,6.0,pickle.load,pickle,krnnt/new.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\new.py
import,load,"self.lemmas = pickle.load(open(path, 'rb'))",404,import pickle,6.0,pickle.load,pickle,krnnt/new.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\new.py
import,load,"self.unique_features_dict = pickle.load(open(pref['UniqueFeaturesValues'], 'rb'))",26,import pickle,3.0,pickle.load,pickle,krnnt/pipeline.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\pipeline.py
assignment_unknown,load,self.lemmatisation.load(pref['lemmatisation_path']),29,self.lemmatisation = pref['lemmatisation_class'](),28.0,pref['lemmatisation_class'].load,pref['lemmatisation_class'],krnnt/pipeline.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\pipeline.py
import,load,"km.unique_features_dict = pickle.load(open(pref['UniqueFeaturesValues'], 'rb'))",204,import pickle,3.0,pickle.load,pickle,krnnt/pipeline.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\pipeline.py
assignment_unknown,load_weights,km.load_weights(pref['weight_path']),220,km = keras_model_class(parameters),201.0,keras_model_class.load_weights,keras_model_class,krnnt/pipeline.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\pipeline.py
assignment_import,load,x = self.p.load(),53,self.p = pickle.Unpickler(file),35.0,pickle.load,pickle,krnnt/serial_pickle.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\serial_pickle.py
assignment_import,load,x = self.p.load(),65,self.p = pickle.Unpickler(file),35.0,pickle.load,pickle,krnnt/serial_pickle.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\serial_pickle.py
import,load,"self.unique_features_dict = pickle.load(open(self.unique_features_dict_path, 'rb'))",33,import pickle,3.0,pickle.load,pickle,krnnt/tagger_exps.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\tagger_exps.py
import,load,data_path = FormatData2(self.corpus_path).load(),166,"from .new import FormatData2, FormatDataPreAnalyzed, PreprocessData, UniqueFeaturesValues, batch_generator, generate_arrays_from_file, Xy_generator, \",10.0,new.FormatData2.(self.corpus_path).load,new,krnnt/tagger_exps.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\tagger_exps.py
import,load,data_path = FormatDataPreAnalyzed(self.corpus_path).load(),168,"from .new import FormatData2, FormatDataPreAnalyzed, PreprocessData, UniqueFeaturesValues, batch_generator, generate_arrays_from_file, Xy_generator, \",10.0,new.FormatDataPreAnalyzed.(self.corpus_path).load,new,krnnt/tagger_exps.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\tagger_exps.py
import,load,data_path = PreprocessData(data_path).load(),170,"from .new import FormatData2, FormatDataPreAnalyzed, PreprocessData, UniqueFeaturesValues, batch_generator, generate_arrays_from_file, Xy_generator, \",10.0,new.PreprocessData.(data_path).load,new,krnnt/tagger_exps.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\tagger_exps.py
,fit_generator,self.keras_model.model.fit_generator(Xy_generator(pad_generator(,323,,,self.keras_model.model.fit_generator,self,krnnt/tagger_exps.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\tagger_exps.py
,fit_generator,self.keras_model.model.fit_generator(Xy_generator(pad_generator(,332,,,self.keras_model.model.fit_generator,self,krnnt/tagger_exps.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\tagger_exps.py
assignment_unknown,load_weights,self.keras_model.load_weights(self.keras_model.parameters.pref['weight_path']),385,self.keras_model = keras_model,193.0,keras_model.load_weights,keras_model,krnnt/tagger_exps.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\tagger_exps.py
,fit_generator,self.keras_model.model.fit_generator(Xy_generator(pad_generator(,432,,,self.keras_model.model.fit_generator,self,krnnt/tagger_exps.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\tagger_exps.py
assignment_unknown,load_model,self.keras_model.load_model(pref['load_model']),476,self.keras_model = keras_model,399.0,keras_model.load_model,keras_model,krnnt/tagger_exps.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\tagger_exps.py
,fit_generator,self.keras_model.model.fit_generator(Xy_generator(pad_generator(,591,,,self.keras_model.model.fit_generator,self,krnnt/tagger_exps.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\tagger_exps.py
,fit_generator,self.keras_model.model.fit_generator(Xy_generator(pad_generator(,600,,,self.keras_model.model.fit_generator,self,krnnt/tagger_exps.py,kwrobel-nlp/krnnt,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\kwrobel-nlp@krnnt\krnnt\tagger_exps.py
