call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,faces = joblib.load(saved_faces_filename),133,import joblib,12,joblib.load,joblib,src/facesDistanceThreshold/main.py,m-doru/Facial-based-authentication-system,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\m-doru@Facial-based-authentication-system\src\facesDistanceThreshold\main.py
import,load,same_id_distances = joblib.load(f),161,import joblib,12,joblib.load,joblib,src/facesDistanceThreshold/main.py,m-doru/Facial-based-authentication-system,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\m-doru@Facial-based-authentication-system\src\facesDistanceThreshold\main.py
import,load,diff_id_distances = joblib.load(f),164,import joblib,12,joblib.load,joblib,src/facesDistanceThreshold/main.py,m-doru/Facial-based-authentication-system,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\m-doru@Facial-based-authentication-system\src\facesDistanceThreshold\main.py
import,load,self.clf = joblib.load(path_to_classifier),15,import joblib,4,joblib.load,joblib,src/faceSpoofDetection/faceSpoofValidation.py,m-doru/Facial-based-authentication-system,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\m-doru@Facial-based-authentication-system\src\faceSpoofDetection\faceSpoofValidation.py
assignment_import,fit,if self.clf.fit(self._lbp.compute(grey_small_frame)) == 1:,43,self.clf = joblib.load(path_to_classifier),15,joblib.fit,joblib,src/faceSpoofDetection/faceSpoofValidation.py,m-doru/Facial-based-authentication-system,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\m-doru@Facial-based-authentication-system\src\faceSpoofDetection\faceSpoofValidation.py
import,load,real_features_train = joblib.load(saved_realfaces_train_features_filename),51,import joblib,2,joblib.load,joblib,src/faceSpoofDetection/SVMclassifier/casia_classifier.py,m-doru/Facial-based-authentication-system,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\m-doru@Facial-based-authentication-system\src\faceSpoofDetection\SVMclassifier\casia_classifier.py
import,load,spoof_features_train = joblib.load(saved_spooffaces_train_features_filename),52,import joblib,2,joblib.load,joblib,src/faceSpoofDetection/SVMclassifier/casia_classifier.py,m-doru/Facial-based-authentication-system,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\m-doru@Facial-based-authentication-system\src\faceSpoofDetection\SVMclassifier\casia_classifier.py
import,load,real_features_test = joblib.load(saved_realfaces_test_features_filename),90,import joblib,2,joblib.load,joblib,src/faceSpoofDetection/SVMclassifier/casia_classifier.py,m-doru/Facial-based-authentication-system,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\m-doru@Facial-based-authentication-system\src\faceSpoofDetection\SVMclassifier\casia_classifier.py
import,load,spoof_features_test = joblib.load(saved_spooffaces_test_features_filename),92,import joblib,2,joblib.load,joblib,src/faceSpoofDetection/SVMclassifier/casia_classifier.py,m-doru/Facial-based-authentication-system,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\m-doru@Facial-based-authentication-system\src\faceSpoofDetection\SVMclassifier\casia_classifier.py
assignment_import,fit,"clf.fit(train_features, train_labels)",140,clf = GridSearchCV(,134,sklearn.grid_search.GridSearchCV.fit,sklearn,src/faceSpoofDetection/SVMclassifier/casia_classifier.py,m-doru/Facial-based-authentication-system,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\m-doru@Facial-based-authentication-system\src\faceSpoofDetection\SVMclassifier\casia_classifier.py
