call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
assignment_import,fit,trainer.fit(model),145,"trainer = instantiate(cfg.trainer, callbacks=callbacks, logger=logger)",136.0,hydra.utils.instantiate.fit,hydra,pyannote/audio/cli/train.py,mahdeslami11/pyannote-audio,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mahdeslami11@pyannote-audio\pyannote\audio\cli\train.py
import,load,"waveform, sample_rate = torchaudio.load(file[""audio""])",278,import torchaudio,38.0,torchaudio.load,torchaudio,pyannote/audio/core/io.py,mahdeslami11/pyannote-audio,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mahdeslami11@pyannote-audio\pyannote\audio\core\io.py
import,load,"data, _ = torchaudio.load(",384,import torchaudio,38.0,torchaudio.load,torchaudio,pyannote/audio/core/io.py,mahdeslami11/pyannote-audio,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mahdeslami11@pyannote-audio\pyannote\audio\core\io.py
,load_state_dict,"missing_keys, unexpected_keys = self.load_state_dict(",362,,,self.load_state_dict,self,pyannote/audio/core/model.py,mahdeslami11/pyannote-audio,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mahdeslami11@pyannote-audio\pyannote\audio\core\model.py
import,load,"config = yaml.load(fp, Loader=yaml.SafeLoader)",117,import yaml,30.0,yaml.load,yaml,pyannote/audio/core/pipeline.py,mahdeslami11/pyannote-audio,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mahdeslami11@pyannote-audio\pyannote\audio\core\pipeline.py
assignment_import,fit,hmm.fit(train_embeddings),733,hmm = GaussianHMM(,725.0,hmmlearn.hmm.GaussianHMM.fit,hmmlearn,pyannote/audio/pipelines/clustering.py,mahdeslami11/pyannote-audio,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mahdeslami11@pyannote-audio\pyannote\audio\pipelines\clustering.py
assignment_import,fit,trainer.fit(vad_model),349,trainer = Trainer(,342.0,pytorch_lightning.Trainer.fit,pytorch_lightning,pyannote/audio/pipelines/voice_activity_detection.py,mahdeslami11/pyannote-audio,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mahdeslami11@pyannote-audio\pyannote\audio\pipelines\voice_activity_detection.py
assignment_import,fit,"trainer.fit(model, vad)",33,trainer = pl.Trainer(fast_dev_run=True),32.0,pytorch_lightning.fit,pytorch_lightning,tests/inference_test.py,mahdeslami11/pyannote-audio,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mahdeslami11@pyannote-audio\tests\inference_test.py
assignment_import,fit,trainer.fit(model),24,trainer = Trainer(fast_dev_run=True),23.0,pytorch_lightning.Trainer.fit,pytorch_lightning,tests/test_train.py,mahdeslami11/pyannote-audio,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mahdeslami11@pyannote-audio\tests\test_train.py
assignment_import,fit,trainer.fit(model),31,trainer = Trainer(fast_dev_run=True),30.0,pytorch_lightning.Trainer.fit,pytorch_lightning,tests/test_train.py,mahdeslami11/pyannote-audio,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mahdeslami11@pyannote-audio\tests\test_train.py
assignment_import,fit,trainer.fit(model),38,trainer = Trainer(fast_dev_run=True),37.0,pytorch_lightning.Trainer.fit,pytorch_lightning,tests/test_train.py,mahdeslami11/pyannote-audio,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mahdeslami11@pyannote-audio\tests\test_train.py
assignment_import,fit,trainer.fit(model),45,trainer = Trainer(fast_dev_run=True),44.0,pytorch_lightning.Trainer.fit,pytorch_lightning,tests/test_train.py,mahdeslami11/pyannote-audio,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mahdeslami11@pyannote-audio\tests\test_train.py
assignment_import,fit,trainer.fit(model),50,trainer = Trainer(fast_dev_run=True),49.0,pytorch_lightning.Trainer.fit,pytorch_lightning,tests/test_train.py,mahdeslami11/pyannote-audio,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mahdeslami11@pyannote-audio\tests\test_train.py
assignment_import,fit,trainer.fit(model),57,trainer = Trainer(fast_dev_run=True),56.0,pytorch_lightning.Trainer.fit,pytorch_lightning,tests/test_train.py,mahdeslami11/pyannote-audio,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mahdeslami11@pyannote-audio\tests\test_train.py
assignment_import,fit,trainer.fit(model),62,trainer = Trainer(fast_dev_run=True),61.0,pytorch_lightning.Trainer.fit,pytorch_lightning,tests/test_train.py,mahdeslami11/pyannote-audio,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mahdeslami11@pyannote-audio\tests\test_train.py
assignment_import,fit,trainer.fit(model),70,trainer = Trainer(fast_dev_run=True),69.0,pytorch_lightning.Trainer.fit,pytorch_lightning,tests/test_train.py,mahdeslami11/pyannote-audio,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mahdeslami11@pyannote-audio\tests\test_train.py
assignment_import,fit,trainer.fit(model),75,trainer = Trainer(fast_dev_run=True),74.0,pytorch_lightning.Trainer.fit,pytorch_lightning,tests/test_train.py,mahdeslami11/pyannote-audio,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mahdeslami11@pyannote-audio\tests\test_train.py
assignment_import,fit,trainer.fit(model),83,trainer = Trainer(fast_dev_run=True),82.0,pytorch_lightning.Trainer.fit,pytorch_lightning,tests/test_train.py,mahdeslami11/pyannote-audio,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mahdeslami11@pyannote-audio\tests\test_train.py
