call_name,line_no,class_instantiation,instantiation_line_no,relative_file_path,repository_name,file_path
self.model(x),54,"self.model = Sequential(OrderedDict({'linear': Linear(self.input_dim, 1, bias=bias), 'sigmoid': activation()}))",47,gossipy/model/nn.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\model\nn.py
self.model(x),103,"self.model = Sequential(OrderedDict({'linear': Linear(self.input_dim, 1, bias=bias), 'sigmoid': activation()}))",47,gossipy/model/nn.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\model\nn.py
self.model(x),103,self.model = Sequential(layers),99,gossipy/model/nn.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\model\nn.py
self.model(x),166,"self.model = Sequential(OrderedDict({'linear': Linear(self.input_dim, 1, bias=bias), 'sigmoid': activation()}))",47,gossipy/model/nn.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\model\nn.py
self.model(x),166,self.model = Sequential(layers),99,gossipy/model/nn.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\model\nn.py
self.model(x),166,"self.model = torch.nn.Linear(input_dim, output_dim)",162,gossipy/model/nn.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\model\nn.py
self.model(x),194,"self.model = Sequential(OrderedDict({'linear': Linear(self.input_dim, 1, bias=bias), 'sigmoid': activation()}))",47,gossipy/model/nn.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\model\nn.py
self.model(x),194,self.model = Sequential(layers),99,gossipy/model/nn.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\model\nn.py
self.model(x),194,"self.model = torch.nn.Linear(input_dim, output_dim)",162,gossipy/model/nn.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\model\nn.py
self.model(x),194,"self.model = torch.nn.Linear(input_dim, output_dim)",191,gossipy/model/nn.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\model\nn.py
self.conv1(x),47,"self.conv1 = nn.Conv2d(3, 32, 3)",31,main_onoszko_2021.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\main_onoszko_2021.py
self.conv2(x),48,"self.conv2 = nn.Conv2d(32, 64, 3)",33,main_onoszko_2021.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\main_onoszko_2021.py
self.conv3(x),49,"self.conv3 = nn.Conv2d(64, 64, 3)",34,main_onoszko_2021.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\main_onoszko_2021.py
self.fc1(x),51,"self.fc1 = nn.Linear(64 * 2 * 2, 64)",35,main_onoszko_2021.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\main_onoszko_2021.py
self.fc2(x),52,"self.fc2 = nn.Linear(64, 10)",36,main_onoszko_2021.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\main_onoszko_2021.py
