call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,fit,"clf = MLPClassifier(max_iter=n_epochs,",82,from sklearn.neural_network import MLPClassifier,5.0,"sklearn.neural_network.MLPClassifier.(max_iter=n_epochs, learning_rate_init=learning_rate, alpha=l2_reg, batch_size=batch_size, verbose=verbose).fit",sklearn,baseline.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\baseline.py
import,fit,"km = KMeans(n_clusters=2, n_init=1, random_state=98765).fit(X)",46,from sklearn.cluster import KMeans,3.0,"sklearn.cluster.KMeans.(n_clusters=2, n_init=1, random_state=98765).fit",sklearn,main_berta_2014.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\main_berta_2014.py
import,load,loaded = dill.load(f),490,import dill,8.0,dill.load,dill,gossipy/simul.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\simul.py
import,load,"CACHE.load(loaded[""cache""])",491,"from . import CACHE, LOG, CacheKey",11.0,..CACHE.load,,gossipy/simul.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\simul.py
import,fit_transform,y = LabelEncoder().fit_transform(y),605,"from sklearn.preprocessing import StandardScaler, LabelEncoder",17.0,sklearn.preprocessing.LabelEncoder.().fit_transform,sklearn,gossipy/data/__init__.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\data\__init__.py
import,fit_transform,"y = LabelEncoder().fit_transform(data[:, label_id])",611,"from sklearn.preprocessing import StandardScaler, LabelEncoder",17.0,sklearn.preprocessing.LabelEncoder.().fit_transform,sklearn,gossipy/data/__init__.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\data\__init__.py
import,fit_transform,X = StandardScaler().fit_transform(X),618,"from sklearn.preprocessing import StandardScaler, LabelEncoder",17.0,sklearn.preprocessing.StandardScaler.().fit_transform,sklearn,gossipy/data/__init__.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\data\__init__.py
import,load,"Xtr, ytr, ids_tr = torch.load(os.path.join(path, tr_name))",769,import torch,12.0,torch.load,torch,gossipy/data/__init__.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\data\__init__.py
import,load,"Xte, yte, ids_te = torch.load(os.path.join(path, te_name))",770,import torch,12.0,torch.load,torch,gossipy/data/__init__.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\data\__init__.py
assignment_unknown,load_state_dict,self.model.load_state_dict(dict_params1),278,self.model = copy.deepcopy(net) if copy_model else net,223.0,copy.deepcopy(net) if copy_model else net.load_state_dict,copy,gossipy/model/handler.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\model\handler.py
,load_state_dict,self.model.load_state_dict(dict_params1),686,,,self.model.load_state_dict,self,gossipy/model/handler.py,makgyver/gossipy,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\makgyver@gossipy\gossipy\model\handler.py
