call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,"return yaml.load(file_handle, Loader=yaml.Loader)",95,import yaml,3.0,yaml.load,yaml,e2e/test_module.py,memgraph/mage,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\memgraph@mage\e2e\test_module.py
import,loads,schema_json = json.loads(schema_file.read()),271,import json,1.0,json.loads,json,python/elastic_search_serialization.py,memgraph/mage,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\memgraph@mage\python\elastic_search_serialization.py
import,loads,"query=json.loads(query),",522,import json,1.0,json.loads,json,python/elastic_search_serialization.py,memgraph/mage,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\memgraph@mage\python\elastic_search_serialization.py
import,loads,"query=json.loads(query),",561,import json,1.0,json.loads,json,python/elastic_search_serialization.py,memgraph/mage,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\memgraph@mage\python\elastic_search_serialization.py
import,loads,"query=json.loads(query),",603,import json,1.0,json.loads,json,python/elastic_search_serialization.py,memgraph/mage,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\memgraph@mage\python\elastic_search_serialization.py
import,load,graph_objects = js.load(file),78,import json as js,2.0,json.load,json,python/import_util.py,memgraph/mage,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\memgraph@mage\python\import_util.py
import,load,objects = json.load(file),10,import json,2.0,json.load,json,python/json_util.py,memgraph/mage,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\memgraph@mage\python\json_util.py
import,fit,kmeans = KMeans(,24,from sklearn.cluster import KMeans,7.0,"sklearn.cluster.KMeans.(n_clusters=number_of_clusters, init=init, n_init=n_init, max_iter=max_iter, tol=tol, algorithm=algorithm, random_state=random_state).fit",sklearn,python/kmeans.py,memgraph/mage,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\memgraph@mage\python\kmeans.py
import,load,model = torch.load(path + Context.MODEL_NAME),683,import torch,2.0,torch.load,torch,python/link_prediction.py,memgraph/mage,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\memgraph@mage\python\link_prediction.py
import,load,predictor = torch.load(path + Context.PREDICTOR_NAME),684,import torch,2.0,torch.load,torch,python/link_prediction.py,memgraph/mage,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\memgraph@mage\python\link_prediction.py
,partial_fit,self.learner.partial_fit(sampled_pairs),47,,,self.learner.partial_fit,self,python/node2vec_online.py,memgraph/mage,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\memgraph@mage\python\node2vec_online.py
,load_state_dict,model.load_state_dict(torch.load(path_to_load_model)),688,,,model.load_state_dict,model,python/node_classification.py,memgraph/mage,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\memgraph@mage\python\node_classification.py
import,load,model.load_state_dict(torch.load(path_to_load_model)),688,import torch,8.0,torch.load,torch,python/node_classification.py,memgraph/mage,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\memgraph@mage\python\node_classification.py
function_parameter,partial_fit,w2v_learner.partial_fit(sentences),33,def test_calculate_embeddings(w2v_learner):,31.0,test_calculate_embeddings.w2v_learner.partial_fit,test_calculate_embeddings,python/tests/node2vec_online/test_w2v_learner.py,memgraph/mage,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\memgraph@mage\python\tests\node2vec_online\test_w2v_learner.py
function_parameter,partial_fit,w2v_learner.partial_fit(sentences),40,def test_correct_embedding_dimension(w2v_learner):,38.0,test_correct_embedding_dimension.w2v_learner.partial_fit,test_correct_embedding_dimension,python/tests/node2vec_online/test_w2v_learner.py,memgraph/mage,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\memgraph@mage\python\tests\node2vec_online\test_w2v_learner.py
function_parameter,partial_fit,w2v_learner_wrong_negative_rate.partial_fit(sentences),51,def test_incorrect_negative_rate(w2v_learner_wrong_negative_rate):,46.0,test_incorrect_negative_rate.w2v_learner_wrong_negative_rate.partial_fit,test_incorrect_negative_rate,python/tests/node2vec_online/test_w2v_learner.py,memgraph/mage,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\memgraph@mage\python\tests\node2vec_online\test_w2v_learner.py
