call_name,line_no,class_instantiation,instantiation_line_no,relative_file_path,repository_name,file_path
"bert_module(inputs=bert_inputs, signature='tokens', as_dict=True)",48,"bert_module = hub.Module(bert_hub_module_handle, tags=tags, trainable=True)",43,models/tensorflow/google_bert/run_classifier_with_tfhub.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\models\tensorflow\google_bert\run_classifier_with_tfhub.py
"bert_module(signature='tokenization_info', as_dict=True)",150,"bert_module = hub.Module(bert_hub_module_handle, tags=tags, trainable=True)",43,models/tensorflow/google_bert/run_classifier_with_tfhub.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\models\tensorflow\google_bert\run_classifier_with_tfhub.py
"bert_module(signature='tokenization_info', as_dict=True)",150,bert_module = hub.Module(bert_hub_module_handle),149,models/tensorflow/google_bert/run_classifier_with_tfhub.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\models\tensorflow\google_bert\run_classifier_with_tfhub.py
model(eval_inputs_list),132,"model = Seq2SeqModel(batch_size, hidden_size, encoder_layer, encoder_step, decoder_layer, decoder_step)",124,models/tensorflow/nnf_tf_freezer/tf_freeze_graph_example.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\models\tensorflow\nnf_tf_freezer\tf_freeze_graph_example.py
"model(eval_inputs, False)",150,"model = Seq2SeqModel(batch_size, hidden_size, encoder_layer, encoder_step, decoder_layer, decoder_step)",124,models/tensorflow/nnf_tf_freezer/tf_freeze_graph_example.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\models\tensorflow\nnf_tf_freezer\tf_freeze_graph_example.py
"wrapper(input_ids, attention_mask, labels)",49,wrapper = WrapperModel(model),38,src/python/example/bert.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\src\python\example\bert.py
model(sample_input),65,model = MLP(),64,src/python/example/mnist.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\src\python\example\mnist.py
model(batch[0].to(device)),185,model = MLP(),64,src/python/example/mnist.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\src\python\example\mnist.py
model(batch[0].to(device)),185,model = MLP(),87,src/python/example/mnist.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\src\python\example\mnist.py
model(batch[0].to(device)),185,model = MLP(),103,src/python/example/mnist.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\src\python\example\mnist.py
model(batch[0].to(device)),185,model = MLP(),123,src/python/example/mnist.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\src\python\example\mnist.py
model(batch[0].to(device)),185,model = MLP(),174,src/python/example/mnist.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\src\python\example\mnist.py
model(data),305,"model = ImageClassification(28, 10, args.num_layer, SimpleRNNCell, args.hidden_size, args.batch_size, 28)",292,src/python/example/rnn.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\src\python\example\rnn.py
