call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,model = onnx.load(args.file),73,import onnx,10.0,onnx.load,onnx,models/pytorch2onnx/ort_run_frozen_each_layer.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\models\pytorch2onnx\ort_run_frozen_each_layer.py
import,load,"inputs.append(cPickle.load(f, **encoding))",174,from six.moves import cPickle,27.0,six.moves.cPickle.load,six,models/tensorflow/cnn_model_util/datasets.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\models\tensorflow\cnn_model_util\datasets.py
import,loads,return cls.from_dict(json.loads(text)),95,import json,23.0,json.loads,json,models/tensorflow/google_bert/modeling.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\models\tensorflow\google_bert\modeling.py
import,loads,return cls.from_dict(json.loads(text)),95,import json,23.0,json.loads,json,models/tensorflow/google_bert/modeling_fp16.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\models\tensorflow\google_bert\modeling_fp16.py
import,loads,obj = json.loads(config.to_json_string()),131,import json,20.0,json.loads,json,models/tensorflow/google_bert/modeling_test.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\models\tensorflow\google_bert\modeling_test.py
import,load,"input_data = json.load(reader)[""data""]",230,import json,22.0,json.load,json,models/tensorflow/google_bert/run_squad.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\models\tensorflow\google_bert\run_squad.py
import,load,"trace_module = torch.jit.load(""vgg16_trace_module.pt"")",17,"import torch, torchvision",4.0,torch.jit.load,torch,models/torchscript/vgg16/main.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\models\torchscript\vgg16\main.py
import,loads,input_dict = json.loads(args.input_config),17,import json,2.0,json.loads,json,src/contrib/custom_op/script/__main__.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\src\contrib\custom_op\script\__main__.py
assignment_import,load_state_dict,"model.load_state_dict(torch.load(""/tmp/bert.pt""))",223,model = BertForSequenceClassification.from_pretrained(,221.0,transformers.BertForSequenceClassification.load_state_dict,transformers,src/python/example/bert.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\src\python\example\bert.py
import,load,"model.load_state_dict(torch.load(""/tmp/bert.pt""))",223,import torch,13.0,torch.load,torch,src/python/example/bert.py,microsoft/nnfusion,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\microsoft@nnfusion\src\python\example\bert.py
