call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,loads,json_data = json.loads(line),96,import json,21.0,json.loads,json,convert_prediction_from_json_to_csv.py,miha-skalic/youtube8mchallenge,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\miha-skalic@youtube8mchallenge\convert_prediction_from_json_to_csv.py
assignment_unknown,load,"destination_t.load(ema_source, session=sess)",252,destination_t = destination_t[0],249.0,destination_t[0].load,destination_t[0],eval.py,miha-skalic/youtube8mchallenge,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\miha-skalic@youtube8mchallenge\eval.py
import,loads,flags_dict = json.loads(open(model_flags_path).read()),355,import json,17.0,json.loads,json,eval.py,miha-skalic/youtube8mchallenge,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\miha-skalic@youtube8mchallenge\eval.py
import,loads,flags_dict = json.loads(open(model_flags_path).read()),112,import json,2.0,json.loads,json,eval_custom.py,miha-skalic/youtube8mchallenge,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\miha-skalic@youtube8mchallenge\eval_custom.py
import,loads,flags_dict = json.loads(open(flags_dict_file).read()),204,import json,19.0,json.loads,json,inference.py,miha-skalic/youtube8mchallenge,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\miha-skalic@youtube8mchallenge\inference.py
import,loads,flags_dict = json.loads(open(flags_dict_file).read()),204,import json,19.0,json.loads,json,inference_gpu.py,miha-skalic/youtube8mchallenge,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\miha-skalic@youtube8mchallenge\inference_gpu.py
import,loads,flags_dict = json.loads(open(model_flags_path).read()),153,import json,26.0,json.loads,json,prepare_distill_dataset.py,miha-skalic/youtube8mchallenge,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\miha-skalic@youtube8mchallenge\prepare_distill_dataset.py
assignment_import,fit,"km_pred.fit(c_np[:, np.newaxis].astype(np.float64))",115,"km_pred = KMeans(n_clusters=256, n_jobs=-1)",113.0,sklearn.cluster.KMeans.fit,sklearn,quantize.py,miha-skalic/youtube8mchallenge,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\miha-skalic@youtube8mchallenge\quantize.py
,load,"load_dest.load(np_val, session=sess)",156,,,load_dest.load,load_dest,quantize.py,miha-skalic/youtube8mchallenge,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\miha-skalic@youtube8mchallenge\quantize.py
import,load,existing_flags = json.load(open(flags_json_path)),438,import json,16.0,json.load,json,train.py,miha-skalic/youtube8mchallenge,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\miha-skalic@youtube8mchallenge\train.py
