call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
function_parameter,load,im_pixel = im.load(),114,def find_piece_and_board(im):,103.0,find_piece_and_board.im.load,find_piece_and_board,wechat_jump_auto.py,mr-chen-king/auto_control_app,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mr-chen-king@auto_control_app\wechat_jump_auto.py
function_parameter,load,im_pixel = im.load(),171,def find_piece(im):,160.0,find_piece.im.load,find_piece,wechat_jump_auto_ai.py,mr-chen-king/auto_control_app,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mr-chen-king@auto_control_app\wechat_jump_auto_ai.py
function_parameter,load,im_pixel = im.load(),221,def find_piece_and_board(im):,203.0,find_piece_and_board.im.load,find_piece_and_board,wechat_jump_auto_ai.py,mr-chen-king/auto_control_app,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mr-chen-king@auto_control_app\wechat_jump_auto_ai.py
import,load,Image.open('./autojump.png').load(),350,from PIL import Image,21.0,PIL.Image.open('./autojump.png').load,PIL,wechat_jump_auto_ai.py,mr-chen-king/auto_control_app,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mr-chen-king@auto_control_app\wechat_jump_auto_ai.py
function_parameter,load,im_pixel = im.load(),171,def find_piece(im):,160.0,find_piece.im.load,find_piece,wechat_jump_auto_ai_test.py,mr-chen-king/auto_control_app,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mr-chen-king@auto_control_app\wechat_jump_auto_ai_test.py
function_parameter,load,im_pixel = im.load(),221,def find_piece_and_board(im):,203.0,find_piece_and_board.im.load,find_piece_and_board,wechat_jump_auto_ai_test.py,mr-chen-king/auto_control_app,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mr-chen-king@auto_control_app\wechat_jump_auto_ai_test.py
import,load,Image.open('./autojump.png').load(),350,from PIL import Image,21.0,PIL.Image.open('./autojump.png').load,PIL,wechat_jump_auto_ai_test.py,mr-chen-king/auto_control_app,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mr-chen-king@auto_control_app\wechat_jump_auto_ai_test.py
function_parameter,load,im_pixel = im.load(),115,def find_piece_and_board(im):,102.0,find_piece_and_board.im.load,find_piece_and_board,wechat_jump_auto_curves.py,mr-chen-king/auto_control_app,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mr-chen-king@auto_control_app\wechat_jump_auto_curves.py
import,load,config = json.load(f),29,import json,23.0,json.load,json,wechat_jump_auto_iOS.py,mr-chen-king/auto_control_app,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mr-chen-king@auto_control_app\wechat_jump_auto_iOS.py
function_parameter,load,im_pixel = im.load(),115,def find_piece_and_board(im):,106.0,find_piece_and_board.im.load,find_piece_and_board,wechat_jump_auto_iOS.py,mr-chen-king/auto_control_app,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mr-chen-king@auto_control_app\wechat_jump_auto_iOS.py
import,load,Image.open(BytesIO(binary_screenshot)).load()  # 直接使用内存IO,31,"from PIL import Image, ImageDraw",16.0,PIL.Image.open(BytesIO(binary_screenshot)).load,PIL,wechat_jump_auto_slim.py,mr-chen-king/auto_control_app,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mr-chen-king@auto_control_app\wechat_jump_auto_slim.py
function_parameter,load,im_pixel = im.load(),58,def find_piece_and_board(im):  # 寻找起点和终点坐标,56.0,find_piece_and_board.im.load,find_piece_and_board,wechat_jump_auto_slim.py,mr-chen-king/auto_control_app,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mr-chen-king@auto_control_app\wechat_jump_auto_slim.py
assignment_import,fit,"regr.fit(_distances, _press_times)",12,regr = LinearRegression(),11.0,sklearn.linear_model.LinearRegression.fit,sklearn,common/ai.py,mr-chen-king/auto_control_app,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mr-chen-king@auto_control_app\common\ai.py
import,load,return json.load(f),32,import json,7.0,json.load,json,common/config.py,mr-chen-king/auto_control_app,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mr-chen-king@auto_control_app\common\config.py
import,load,return json.load(f),38,import json,7.0,json.load,json,common/config.py,mr-chen-king/auto_control_app,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\mr-chen-king@auto_control_app\common\config.py
