call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,ev_opt = dill.load(load_file),503,import dill,12.0,dill.load,dill,bingo/evolutionary_optimizers/evolutionary_optimizer.py,nasa/bingo,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nasa@bingo\bingo\evolutionary_optimizers\evolutionary_optimizer.py
import,load,all_par_archs = dill.load(load_file),315,import dill,13.0,dill.load,dill,bingo/evolutionary_optimizers/parallel_archipelago.py,nasa/bingo,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nasa@bingo\bingo\evolutionary_optimizers\parallel_archipelago.py
,fit,"super().fit(X, y, groups=groups, **fit_params)",246,,,super().fit,super(),bingo/symbolic_regression/symbolic_regressor.py,nasa/bingo,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nasa@bingo\bingo\symbolic_regression\symbolic_regressor.py
assignment_import,fit,"regr.fit(x, y)",288,"regr = SymbolicRegressor(population_size=100, stack_size=10,",271.0,sklearn.base.RegressorMixin.fit,sklearn,bingo/symbolic_regression/symbolic_regressor.py,nasa/bingo,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nasa@bingo\bingo\symbolic_regression\symbolic_regressor.py
import,load,par_arch_list = dill.load(pkl_file),194,import dill,8.0,dill.load,dill,tests/integration/mpitest_parallel_archipelago.py,nasa/bingo,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nasa@bingo\tests\integration\mpitest_parallel_archipelago.py
import,load,par_arch_list = dill.load(pkl_file),220,import dill,8.0,dill.load,dill,tests/integration/mpitest_parallel_archipelago.py,nasa/bingo,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nasa@bingo\tests\integration\mpitest_parallel_archipelago.py
import,loads,_ = dill.loads(dill.dumps(sample_regression)),314,import dill,6.0,dill.loads,dill,tests/unit/symbolic_regression/test_explicit_regression.py,nasa/bingo,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nasa@bingo\tests\unit\symbolic_regression\test_explicit_regression.py
import,loads,_ = dill.loads(dill.dumps(sample_implicit_regression)),189,import dill,6.0,dill.loads,dill,tests/unit/symbolic_regression/test_implicit_regression.py,nasa/bingo,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nasa@bingo\tests\unit\symbolic_regression\test_implicit_regression.py
assignment_import,fit,"regr.fit(X, y)",148,regr = SymbolicRegressor(),147.0,bingo.symbolic_regression.symbolic_regressor.SymbolicRegressor.fit,bingo,tests/unit/symbolic_regression/test_symbolic_regressor.py,nasa/bingo,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nasa@bingo\tests\unit\symbolic_regression\test_symbolic_regressor.py
assignment_import,fit,"regr.fit(X, y)",179,regr = SymbolicRegressor(),178.0,bingo.symbolic_regression.symbolic_regressor.SymbolicRegressor.fit,bingo,tests/unit/symbolic_regression/test_symbolic_regressor.py,nasa/bingo,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nasa@bingo\tests\unit\symbolic_regression\test_symbolic_regressor.py
assignment_import,fit,"regr.fit(X, y)",193,regr = SymbolicRegressor(random_state=random_state),192.0,bingo.symbolic_regression.symbolic_regressor.SymbolicRegressor.fit,bingo,tests/unit/symbolic_regression/test_symbolic_regressor.py,nasa/bingo,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nasa@bingo\tests\unit\symbolic_regression\test_symbolic_regressor.py
import,loads,_ = dill.loads(dill.dumps(addition_agraph)),192,import dill,6.0,dill.loads,dill,tests/unit/symbolic_regression/agraph/test_agraph.py,nasa/bingo,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nasa@bingo\tests\unit\symbolic_regression\agraph\test_agraph.py
