call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,input_X = np.load(self.gh.gis + '/world_prediction_array.npy'),94,import numpy as np,7,numpy.load,numpy,sdmdl/sdmdl/predictor.py,naturalis/sdmdl,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\naturalis@sdmdl\sdmdl\sdmdl\predictor.py
assignment_import,load_weights,"loaded_model.load_weights(self.ch.result_path + '/{}/{}_model.h5'.format(spec, spec))",104,loaded_model = model_from_json(loaded_model_json),103,keras.models.model_from_json.load_weights,keras,sdmdl/sdmdl/predictor.py,naturalis/sdmdl,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\naturalis@sdmdl\sdmdl\sdmdl\predictor.py
function_parameter,fit_generator,"model.fit_generator(generator=training_generator, steps_per_epoch=steps_per_epoch, epochs=self.epoch,",174,"def train_model(self, model, X_train, X_test, y_train, y_test):",155,train_model.model.fit_generator,train_model,sdmdl/sdmdl/trainer.py,naturalis/sdmdl,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\naturalis@sdmdl\sdmdl\sdmdl\trainer.py
import,load,"presence_truth = np.load(self.root + '/presence_pseudo_absence/presence_data.npy',allow_pickle=True)",43,import numpy as np,6,numpy.load,numpy,tests/test_5_PresencePseudoAbsence.py,naturalis/sdmdl,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\naturalis@sdmdl\tests\test_5_PresencePseudoAbsence.py
import,load,outer_random_sample_lon_lats_truth = np.load(self.root + '/presence_pseudo_absence/outer_random_sample.npy'),44,import numpy as np,6,numpy.load,numpy,tests/test_5_PresencePseudoAbsence.py,naturalis/sdmdl,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\naturalis@sdmdl\tests\test_5_PresencePseudoAbsence.py
import,load,ppa_truth = np.load(self.root + '/training_data/ppa.npy'),37,import numpy as np,7,numpy.load,numpy,tests/test_7_TrainingData.py,naturalis/sdmdl,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\naturalis@sdmdl\tests\test_7_TrainingData.py
import,load,long_truth = np.load(self.root + '/training_data/long.npy'),38,import numpy as np,7,numpy.load,numpy,tests/test_7_TrainingData.py,naturalis/sdmdl,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\naturalis@sdmdl\tests\test_7_TrainingData.py
import,load,lati_truth = np.load(self.root + '/training_data/lati.npy'),39,import numpy as np,7,numpy.load,numpy,tests/test_7_TrainingData.py,naturalis/sdmdl,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\naturalis@sdmdl\tests\test_7_TrainingData.py
import,load,row_truth = np.load(self.root + '/training_data/row.npy'),40,import numpy as np,7,numpy.load,numpy,tests/test_7_TrainingData.py,naturalis/sdmdl,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\naturalis@sdmdl\tests\test_7_TrainingData.py
import,load,col_truth = np.load(self.root + '/training_data/col.npy'),41,import numpy as np,7,numpy.load,numpy,tests/test_7_TrainingData.py,naturalis/sdmdl,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\naturalis@sdmdl\tests\test_7_TrainingData.py
