call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
,fit_generator,vae_model_for_training.fit_generator(,323,,,vae_model_for_training.fit_generator,vae_model_for_training,conv1d_text_vae/conv1d_text_vae.py,nsu-ai-team/conv1d-text-vae,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nsu-ai-team@conv1d-text-vae\conv1d_text_vae\conv1d_text_vae.py
,load_weights,vae_model_for_training.load_weights(tmp_weights_name),332,,,vae_model_for_training.load_weights,vae_model_for_training,conv1d_text_vae/conv1d_text_vae.py,nsu-ai-team/conv1d-text-vae,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nsu-ai-team@conv1d-text-vae\conv1d_text_vae\conv1d_text_vae.py
,fit_generator,seq2seq_model_for_training.fit_generator(,369,,,seq2seq_model_for_training.fit_generator,seq2seq_model_for_training,conv1d_text_vae/conv1d_text_vae.py,nsu-ai-team/conv1d-text-vae,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nsu-ai-team@conv1d-text-vae\conv1d_text_vae\conv1d_text_vae.py
,load_weights,seq2seq_model_for_training.load_weights(tmp_weights_name),378,,,seq2seq_model_for_training.load_weights,seq2seq_model_for_training,conv1d_text_vae/conv1d_text_vae.py,nsu-ai-team/conv1d-text-vae,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nsu-ai-team@conv1d-text-vae\conv1d_text_vae\conv1d_text_vae.py
custom_function,fit,"return self.fit(X, y).transform(X)",487,"def fit(self, X: Union[list, tuple, np.ndarray], y: Union[list, tuple, np.ndarray]=None):",188.0,fit.self,fit,conv1d_text_vae/conv1d_text_vae.py,nsu-ai-team/conv1d-text-vae,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nsu-ai-team@conv1d-text-vae\conv1d_text_vae\conv1d_text_vae.py
custom_function,fit,"return self.fit(X, y).predict(X)",490,"def fit(self, X: Union[list, tuple, np.ndarray], y: Union[list, tuple, np.ndarray]=None):",188.0,fit.self,fit,conv1d_text_vae/conv1d_text_vae.py,nsu-ai-team/conv1d-text-vae,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nsu-ai-team@conv1d-text-vae\conv1d_text_vae\conv1d_text_vae.py
import,load,res = FastTextKeyedVectors.load(tmp_fasttext_name),669,from gensim.models.keyedvectors import FastTextKeyedVectors,10.0,gensim.models.keyedvectors.FastTextKeyedVectors.load,gensim,conv1d_text_vae/conv1d_text_vae.py,nsu-ai-team/conv1d-text-vae,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nsu-ai-team@conv1d-text-vae\conv1d_text_vae\conv1d_text_vae.py
assignment_import,fit_predict,predicted = clustering.fit_predict(neighbourhood_matrix),976,"clustering = DBSCAN(n_jobs=1, min_samples=max(1, int(word_vectors.shape[0] // (max_vocabulary_size * 4))),",966.0,sklearn.cluster.DBSCAN.fit_predict,sklearn,conv1d_text_vae/conv1d_text_vae.py,nsu-ai-team/conv1d-text-vae,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nsu-ai-team@conv1d-text-vae\conv1d_text_vae\conv1d_text_vae.py
function_parameter,load_weights,model.load_weights(tmp_weights_name),1091,"def __load_weights(self, model: Model, weights_as_bytes: Union[bytearray, bytes]):",1083.0,__load_weights.model.load_weights,__load_weights,conv1d_text_vae/conv1d_text_vae.py,nsu-ai-team/conv1d-text-vae,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nsu-ai-team@conv1d-text-vae\conv1d_text_vae\conv1d_text_vae.py
import,load,"return FastText.load(os.path.join(fasttext_ru_dirname, 'araneum_none_fasttextcbow_300_5_2018.model')).wv",27,from gensim.models import FastText,7.0,gensim.models.FastText.load,gensim,conv1d_text_vae/fasttext_loading.py,nsu-ai-team/conv1d-text-vae,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nsu-ai-team@conv1d-text-vae\conv1d_text_vae\fasttext_loading.py
import,load,vae = pickle.load(fp),301,import pickle,8.0,pickle.load,pickle,demo/conv1d_text_vae_demo.py,nsu-ai-team/conv1d-text-vae,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\nsu-ai-team@conv1d-text-vae\demo\conv1d_text_vae_demo.py
