call_name,line_no,class_instantiation,instantiation_line_no,relative_file_path,repository_name,file_path
self.fcn(x),115,"self.fcn = nn.Conv2d(256, num_class, kernel_size=1)",69,deprecated/origin_stgcn_repo/net/st_gcn.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\deprecated\origin_stgcn_repo\net\st_gcn.py
"self.loss(output, label)",92,self.loss = nn.CrossEntropyLoss(),44,deprecated/origin_stgcn_repo/processor/recognition.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\deprecated\origin_stgcn_repo\processor\recognition.py
"self.loss(output, label)",131,self.loss = nn.CrossEntropyLoss(),44,deprecated/origin_stgcn_repo/processor/recognition.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\deprecated\origin_stgcn_repo\processor\recognition.py
self.fcn(x),132,"self.fcn = nn.Conv2d(256, num_class, kernel_size=1)",87,mmskeleton/models/backbones/st_gcn_aaai18.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\mmskeleton\models\backbones\st_gcn_aaai18.py
"model(input_flipped, return_loss=False)",55,model = torch.nn.Sequential(*model),35,mmskeleton/processor/apis.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\mmskeleton\processor\apis.py
model(data),47,model = torch.nn.Sequential(*model),35,mmskeleton/processor/recognition.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\mmskeleton\processor\recognition.py
model(data),48,model = torch.nn.Sequential(*model),35,mmskeleton/processor/recognition.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\mmskeleton\processor\recognition.py
model(data),131,model = torch.nn.Sequential(*model),35,mmskeleton/processor/recognition.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\mmskeleton\processor\recognition.py
model(data),131,model = torch.nn.Sequential(*model),100,mmskeleton/processor/recognition.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\mmskeleton\processor\recognition.py
"model(input_flipped, return_loss=False)",162,model = torch.nn.Sequential(*model),85,mmskeleton/processor/twodimestimation.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\mmskeleton\processor\twodimestimation.py
"model(input_flipped, return_loss=False)",162,model = torch.nn.Sequential(*model),130,mmskeleton/processor/twodimestimation.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\mmskeleton\processor\twodimestimation.py
