call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,"self.sample_name, self.label = pickle.load(f)",55,import pickle,6.0,pickle.load,pickle,deprecated/origin_stgcn_repo/feeder/feeder.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\deprecated\origin_stgcn_repo\feeder\feeder.py
import,load,"self.data = np.load(self.data_path, mmap_mode='r')",59,import numpy as np,4.0,numpy.load,numpy,deprecated/origin_stgcn_repo/feeder/feeder.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\deprecated\origin_stgcn_repo\feeder\feeder.py
import,load,self.data = np.load(self.data_path),61,import numpy as np,4.0,numpy.load,numpy,deprecated/origin_stgcn_repo/feeder/feeder.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\deprecated\origin_stgcn_repo\feeder\feeder.py
import,load,label_info = json.load(f),67,import json,7.0,json.load,json,deprecated/origin_stgcn_repo/feeder/feeder_kinetics.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\deprecated\origin_stgcn_repo\feeder\feeder_kinetics.py
import,load,video_info = json.load(f),102,import json,7.0,json.load,json,deprecated/origin_stgcn_repo/feeder/feeder_kinetics.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\deprecated\origin_stgcn_repo\feeder\feeder_kinetics.py
custom_function,load_model,self.load_model(),27,def load_model(self):,68.0,load_model.self,load_model,deprecated/origin_stgcn_repo/processor/io.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\deprecated\origin_stgcn_repo\processor\io.py
custom_function,load_weights,self.load_weights(),28,def load_weights(self):,72.0,load_weights.self,load_weights,deprecated/origin_stgcn_repo/processor/io.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\deprecated\origin_stgcn_repo\processor\io.py
import,load,"default_arg = yaml.load(f, Loader=yaml.FullLoader)",39,import yaml,5.0,yaml.load,yaml,deprecated/origin_stgcn_repo/processor/io.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\deprecated\origin_stgcn_repo\processor\io.py
,load_model,"self.model = self.io.load_model(self.arg.model,",69,,,self.io.load_model,self,deprecated/origin_stgcn_repo/processor/io.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\deprecated\origin_stgcn_repo\processor\io.py
,load_weights,"self.model = self.io.load_weights(self.model, self.arg.weights,",74,,,self.io.load_weights,self,deprecated/origin_stgcn_repo/processor/io.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\deprecated\origin_stgcn_repo\processor\io.py
