call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,loads,param = hjson.loads(f.read()),420,import hjson,13.0,hjson.loads,hjson,sw/applications/data_gen.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\sw\applications\data_gen.py
,load,self.gdb.load(),466,,,self.gdb.load,self,sw/vendor/riscv-tests/debug/gdbserver.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\sw\vendor\riscv-tests\debug\gdbserver.py
,load,self.gdb.load(),527,,,self.gdb.load,self,sw/vendor/riscv-tests/debug/gdbserver.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\sw\vendor\riscv-tests\debug\gdbserver.py
,load,self.gdb.load(),945,,,self.gdb.load,self,sw/vendor/riscv-tests/debug/gdbserver.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\sw\vendor\riscv-tests\debug\gdbserver.py
,load,self.gdb.load(),975,,,self.gdb.load,self,sw/vendor/riscv-tests/debug/gdbserver.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\sw\vendor\riscv-tests\debug\gdbserver.py
,load,self.gdb.load(),1018,,,self.gdb.load,self,sw/vendor/riscv-tests/debug/gdbserver.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\sw\vendor\riscv-tests\debug\gdbserver.py
,load,self.gdb.load(),1129,,,self.gdb.load,self,sw/vendor/riscv-tests/debug/gdbserver.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\sw\vendor\riscv-tests\debug\gdbserver.py
,load,self.gdb.load(),1157,,,self.gdb.load,self,sw/vendor/riscv-tests/debug/gdbserver.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\sw\vendor\riscv-tests\debug\gdbserver.py
,load,self.gdb.load(),1186,,,self.gdb.load,self,sw/vendor/riscv-tests/debug/gdbserver.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\sw\vendor\riscv-tests\debug\gdbserver.py
,load,self.gdb.load(),1236,,,self.gdb.load,self,sw/vendor/riscv-tests/debug/gdbserver.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\sw\vendor\riscv-tests\debug\gdbserver.py
,load,self.gdb.load(),1261,,,self.gdb.load,self,sw/vendor/riscv-tests/debug/gdbserver.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\sw\vendor\riscv-tests\debug\gdbserver.py
,load,self.gdb.load(),1277,,,self.gdb.load,self,sw/vendor/riscv-tests/debug/gdbserver.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\sw\vendor\riscv-tests\debug\gdbserver.py
,load,self.gdb.load(),1408,,,self.gdb.load,self,sw/vendor/riscv-tests/debug/gdbserver.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\sw\vendor\riscv-tests\debug\gdbserver.py
,load,self.gdb.load(),1504,,,self.gdb.load,self,sw/vendor/riscv-tests/debug/gdbserver.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\sw\vendor\riscv-tests\debug\gdbserver.py
,load,self.gdb.load(),1529,,,self.gdb.load,self,sw/vendor/riscv-tests/debug/gdbserver.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\sw\vendor\riscv-tests\debug\gdbserver.py
,load,self.gdb.load(),1600,,,self.gdb.load,self,sw/vendor/riscv-tests/debug/gdbserver.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\sw\vendor\riscv-tests\debug\gdbserver.py
,load,self.gdb.load(),1682,,,self.gdb.load,self,sw/vendor/riscv-tests/debug/gdbserver.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\sw\vendor\riscv-tests\debug\gdbserver.py
,load,self.gdb.load(),1746,,,self.gdb.load,self,sw/vendor/riscv-tests/debug/gdbserver.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\sw\vendor\riscv-tests\debug\gdbserver.py
import,loads,"obj = hjson.loads(srcfull, use_decimal=True)",36,import hjson,7.0,hjson.loads,hjson,util/clustergen.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\util\clustergen.py
import,loads,"obj = hjson.loads(srcfull, use_decimal=True)",121,import hjson,8.0,hjson.loads,hjson,util/occamygen.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\util\occamygen.py
import,loads,"data = hjson.loads(handle.read(), use_decimal=True)",346,import hjson,28.0,hjson.loads,hjson,util/vendor.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\util\vendor.py
import,loads,"data = hjson.loads(handle.read(), use_decimal=True)",362,import hjson,28.0,hjson.loads,hjson,util/vendor.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\util\vendor.py
import,load,schema = json.load(f),406,import json,12.0,json.load,json,util/clustergen/cluster.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\util\clustergen\cluster.py
import,load,parsed_config = hjson.load(options.config),491,import hjson,15.0,hjson.load,hjson,util/lowrisc_misc-linters/licence-checker/licence-checker.py,pulp-platform/snitch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\pulp-platform@snitch\util\lowrisc_misc-linters\licence-checker\licence-checker.py
