call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,df = pickle.load(f),26,import pickle,3,pickle.load,pickle,TweetAuthorshipPredictor.py,raffg/trump-tweet-author-identification,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\raffg@trump-tweet-author-identification\TweetAuthorshipPredictor.py
assignment_unknown,fit,"trump.fit(X, y)",36,trump = TweetAuthorshipPredictor(),35,object.fit,object,TweetAuthorshipPredictor.py,raffg/trump-tweet-author-identification,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\raffg@trump-tweet-author-identification\TweetAuthorshipPredictor.py
assignment_import,fit,self.scaler.fit(X),229,self.scaler = StandardScaler(),227,sklearn.preprocessing.StandardScaler.fit,sklearn,TweetAuthorshipPredictor.py,raffg/trump-tweet-author-identification,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\raffg@trump-tweet-author-identification\TweetAuthorshipPredictor.py
import,fit,"rf = RandomForestClassifier(max_depth=20,",369,from sklearn.ensemble import RandomForestClassifier,11,"sklearn.ensemble.RandomForestClassifier.(max_depth=20, max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=2, min_samples_split=2, n_estimators=1000, n_jobs=-1).fit",sklearn,TweetAuthorshipPredictor.py,raffg/trump-tweet-author-identification,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\raffg@trump-tweet-author-identification\TweetAuthorshipPredictor.py
import,fit,"ab = AdaBoostClassifier(learning_rate=1.25,",385,from sklearn.ensemble import AdaBoostClassifier,12,"sklearn.ensemble.AdaBoostClassifier.(learning_rate=1.25, n_estimators=40).fit",sklearn,TweetAuthorshipPredictor.py,raffg/trump-tweet-author-identification,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\raffg@trump-tweet-author-identification\TweetAuthorshipPredictor.py
import,fit,"gb = GradientBoostingClassifier(n_estimators=200,",396,from sklearn.ensemble import GradientBoostingClassifier,13,"sklearn.ensemble.GradientBoostingClassifier.(n_estimators=200, learning_rate=0.1, max_depth=6, min_samples_split=2, min_samples_leaf=1, subsample=1, max_features=None).fit",sklearn,TweetAuthorshipPredictor.py,raffg/trump-tweet-author-identification,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\raffg@trump-tweet-author-identification\TweetAuthorshipPredictor.py
import,fit,"knn = KNeighborsClassifier(n_neighbors=7).fit(X_train, y_train)",414,from sklearn.neighbors import KNeighborsClassifier,14,sklearn.neighbors.KNeighborsClassifier.(n_neighbors=7).fit,sklearn,TweetAuthorshipPredictor.py,raffg/trump-tweet-author-identification,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\raffg@trump-tweet-author-identification\TweetAuthorshipPredictor.py
assignment_import,fit,pca.fit(X_train),426,pca = PCA(n_components=12),425,sklearn.decomposition.PCA.fit,sklearn,TweetAuthorshipPredictor.py,raffg/trump-tweet-author-identification,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\raffg@trump-tweet-author-identification\TweetAuthorshipPredictor.py
import,fit,"nb = MultinomialNB(alpha=10).fit(X_train, y_train)",431,from sklearn.naive_bayes import MultinomialNB,15,sklearn.naive_bayes.MultinomialNB.(alpha=10).fit,sklearn,TweetAuthorshipPredictor.py,raffg/trump-tweet-author-identification,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\raffg@trump-tweet-author-identification\TweetAuthorshipPredictor.py
import,fit,"gnb = GaussianNB().fit(X_train, y_train)",442,from sklearn.naive_bayes import GaussianNB,16,sklearn.naive_bayes.GaussianNB.().fit,sklearn,TweetAuthorshipPredictor.py,raffg/trump-tweet-author-identification,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\raffg@trump-tweet-author-identification\TweetAuthorshipPredictor.py
