call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
assignment_unknown,load,svm.load(model_path),218,svm = get_empty_svm(),217,get_empty_svm.load,get_empty_svm,opencv 高阶应用/HOG SVM 目标检测.py,tianxing1994/OpenCV,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tianxing1994@OpenCV\opencv 高阶应用\HOG SVM 目标检测.py
assignment_unknown,load,hog.load(filename=model_path),254,hog = get_hog_detector(),253,get_hog_detector.load,get_hog_detector,opencv 高阶应用/HOG SVM 目标检测.py,tianxing1994/OpenCV,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tianxing1994@OpenCV\opencv 高阶应用\HOG SVM 目标检测.py
assignment_unknown,load,hog.load(filename=model_path),272,hog = get_hog_detector(),271,get_hog_detector.load,get_hog_detector,opencv 高阶应用/HOG SVM 目标检测.py,tianxing1994/OpenCV,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tianxing1994@OpenCV\opencv 高阶应用\HOG SVM 目标检测.py
assignment_import,fit,"clf.fit(data, target)",31,clf = GaussianNB(),27,sklearn.naive_bayes.GaussianNB.fit,sklearn,opencv 高阶应用/高斯贝叶斯聚合图像.py,tianxing1994/OpenCV,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tianxing1994@OpenCV\opencv 高阶应用\高斯贝叶斯聚合图像.py
assignment_unknown,fit,"tree.fit(X_sub, residuals_sub, max_depth, min_samples_split)",277,tree = RegressionTree(),276,object.fit,object,算法实现/GBDT 分类.py,tianxing1994/OpenCV,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tianxing1994@OpenCV\算法实现\GBDT 分类.py
assignment_unknown,fit,"clf.fit(X_train, y_train, n_estimators=10,",308,clf = GradientBoostingClassifier(),307,object.fit,object,算法实现/GBDT 分类.py,tianxing1994/OpenCV,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tianxing1994@OpenCV\算法实现\GBDT 分类.py
assignment_unknown,fit,kmeans.fit(data),86,"kmeans = KMeans(n_clusters=3, max_iter=300)",85,object.fit,object,算法实现/KMeans 聚类算法实现.py,tianxing1994/OpenCV,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tianxing1994@OpenCV\算法实现\KMeans 聚类算法实现.py
assignment_unknown,fit,kmeans.fit(data),100,"kmeans = cluster.KMeans(n_clusters=3, max_iter=300, tol=1e-4)",99,object.fit,object,算法实现/KMeans 聚类算法实现.py,tianxing1994/OpenCV,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tianxing1994@OpenCV\算法实现\KMeans 聚类算法实现.py
assignment_unknown,fit,"knn.fit(data, target)",80,knn = KNeighborsClassifier(n_neighbors=10),79,object.fit,object,算法实现/KNN 算法实现.py,tianxing1994/OpenCV,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tianxing1994@OpenCV\算法实现\KNN 算法实现.py
assignment_unknown,fit,"knn.fit(data, target)",94,knn = neighbors.KNeighborsClassifier(n_neighbors=10),93,object.fit,object,算法实现/KNN 算法实现.py,tianxing1994/OpenCV,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tianxing1994@OpenCV\算法实现\KNN 算法实现.py
assignment_import,fit,"lda.fit(x, y)",94,lda = LinearDiscriminantAnalysis(n_components=2),93,sklearn.discriminant_analysis.LinearDiscriminantAnalysis.fit,sklearn,算法实现/LDA 降维 (Python 实现).py,tianxing1994/OpenCV,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tianxing1994@OpenCV\算法实现\LDA 降维 (Python 实现).py
assignment_unknown,fit,result = mean_shift.fit(data),217,"mean_shift = MeanShift(epsilon=1e-5, band_width=2, min_quantity=10, bin_seeding=True)",216,object.fit,object,算法实现/MeanShift 聚类算法.py,tianxing1994/OpenCV,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tianxing1994@OpenCV\算法实现\MeanShift 聚类算法.py
assignment_import,fit_transform,result_pca = pca.fit_transform(X),233,pca = PCA(n_components=n),232,sklearn.decomposition.PCA.fit_transform,sklearn,算法实现/PCA 降维 (Python实现).py,tianxing1994/OpenCV,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tianxing1994@OpenCV\算法实现\PCA 降维 (Python实现).py
