call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,"ref = ProtocolRef(json.load(f)[""protocol""])",189,import json,1,json.load,json,dds/store.py,tjhunter/dds_py,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tjhunter@dds_py\dds\store.py
import,load,return pickle.load(f),66,import pickle,4,pickle.load,pickle,dds/codecs/builtins.py,tjhunter/dds_py,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tjhunter@dds_py\dds\codecs\builtins.py
import,loads,"redir_key = json.loads(meta)[""redirection_key""]",250,import json,5,json.loads,json,dds/codecs/databricks.py,tjhunter/dds_py,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tjhunter@dds_py\dds\codecs\databricks.py
import,loads,blob_meta = json.loads(self._head(self._blob_meta_path(key))),263,import json,5,json.loads,json,dds/codecs/databricks.py,tjhunter/dds_py,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tjhunter@dds_py\dds\codecs\databricks.py
import,loads,"redir_key = json.loads(meta)[""redirection_key""]",309,import json,5,json.loads,json,dds/codecs/databricks.py,tjhunter/dds_py,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tjhunter@dds_py\dds\codecs\databricks.py
import,loads,return json.loads(meta),331,import json,5,json.loads,json,dds/codecs/databricks.py,tjhunter/dds_py,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tjhunter@dds_py\dds\codecs\databricks.py
import,load,"assert dds.load(""/p"") == ""a""",21,import dds,1,dds.load,dds,dds_tests/test_load_basic.py,tjhunter/dds_py,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tjhunter@dds_py\dds_tests\test_load_basic.py
import,load,"return dds.load(""/p1"") + str(v2b)",39,import dds,1,dds.load,dds,dds_tests/test_load_basic.py,tjhunter/dds_py,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tjhunter@dds_py\dds_tests\test_load_basic.py
import,load,"return dds.load(""/p2"")",45,import dds,1,dds.load,dds,dds_tests/test_load_basic.py,tjhunter/dds_py,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tjhunter@dds_py\dds_tests\test_load_basic.py
assignment_import,fit,"clf.fit(X_train, y_train)",48,"clf = GridSearchCV(pipeline_, hyperparameters, cv=2)",47,sklearn.model_selection.GridSearchCV.fit,sklearn,dds_tests/test_sklearn.py,tjhunter/dds_py,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\tjhunter@dds_py\dds_tests\test_sklearn.py
