call_name,line_no,class_instantiation,instantiation_line_no,relative_file_path,repository_name,file_path
"self.net_g(x_wav, x_wav_lengths, x_pitch, x_pitch_lengths, y_spec, y_spec_lengths, sid=speakers)",81,"self.net_g = SynthesizerSVC(self.hparams.data.filter_length // 2 + 1, self.hparams.train.segment_size // self.hparams.data.hop_length, n_speakers=self.hparams.data.n_speakers, **self.hparams.model)",33,vits/light/vcvits.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\light\vcvits.py
"self.net_g(x, x_lengths, spec, spec_lengths)",48,"self.net_g = SynthesizerTTS(len(symbols), self.hparams.data.filter_length // 2 + 1, self.hparams.train.segment_size // self.hparams.data.hop_length, **self.hparams.model)",28,vits/light/vits.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\light\vits.py
self.spec_aug(spec),64,self.spec_aug = torch.nn.Sequential(T.FrequencyMasking(freq_mask_param=80)),30,vits/model/pipeline.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\model\pipeline.py
"self.norm(out.transpose(1, 2))",21,self.norm = torch.nn.LayerNorm(out_channels),16,vits/model/predictors/modules.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\model\predictors\modules.py
"self.enc_p(x, x_lengths, x_pitch, x_pitch_lengths)",91,"self.enc_p = HubertContentEncoder(kwargs['hubert_ckpt'], inter_channels, hidden_channels, filter_channels, n_heads, n_layers, kernel_size, p_dropout, hubert_channels, num_pitch)",57,vits/model/synthesizers/synthesizer_svc.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\model\synthesizers\synthesizer_svc.py
self.emb_g(sid),93,"self.emb_g = nn.Embedding(n_speakers, gin_channels)",68,vits/model/synthesizers/synthesizer_svc.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\model\synthesizers\synthesizer_svc.py
"self.flow(z_p, y_mask, g=g, reverse=True)",105,"self.flow = ResidualCouplingBlock(inter_channels, hidden_channels, 5, 1, 4, gin_channels=gin_channels)",63,vits/model/synthesizers/synthesizer_svc.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\model\synthesizers\synthesizer_svc.py
self.emb_g(sid_src),113,"self.emb_g = nn.Embedding(n_speakers, gin_channels)",68,vits/model/synthesizers/synthesizer_svc.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\model\synthesizers\synthesizer_svc.py
self.emb_g(sid_tgt),114,"self.emb_g = nn.Embedding(n_speakers, gin_channels)",68,vits/model/synthesizers/synthesizer_svc.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\model\synthesizers\synthesizer_svc.py
"self.enc_q(y, y_lengths, g=g_src)",115,"self.enc_q = PosteriorEncoder(spec_channels, inter_channels, hidden_channels, 5, 1, 16, gin_channels=gin_channels)",62,vits/model/synthesizers/synthesizer_svc.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\model\synthesizers\synthesizer_svc.py
