call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,loads,config = json.loads(data),67,import json,1.0,json.loads,json,infer.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\infer.py
import,load,"audio, sr = torchaudio.load(""test.wav"")",23,import torchaudio,2.0,torchaudio.load,torchaudio,test_audio.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\test_audio.py
import,loads,config = json.loads(data),34,import json,2.0,json.loads,json,train.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\train.py
assignment_import,fit,"trainer.fit(model=model, train_dataloaders=train_loader, val_dataloaders=valid_loader, ckpt_path=ckpt_path)",113,"trainer = pl.Trainer(**trainer_params) # , profiler=profiler, max_steps=200",110.0,lightning.pytorch.fit,lightning,train.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\train.py
import,load,"checkpoint_dict = torch.load(checkpoint_path, map_location='cpu')",23,import torch,11.0,torch.load,torch,vits/utils.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\utils.py
function_parameter,load_state_dict,optimizer.load_state_dict(checkpoint_dict['optimizer']),27,"def load_checkpoint(checkpoint_path, model, optimizer=None):",21.0,load_checkpoint.optimizer.load_state_dict,load_checkpoint,vits/utils.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\utils.py
,load_state_dict,model.module.load_state_dict(new_state_dict),41,,,model.module.load_state_dict,model,vits/utils.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\utils.py
function_parameter,load_state_dict,model.load_state_dict(new_state_dict),43,"def load_checkpoint(checkpoint_path, model, optimizer=None):",21.0,load_checkpoint.model.load_state_dict,load_checkpoint,vits/utils.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\utils.py
import,load,"data, sampling_rate = torchaudio.load(full_path)",137,import torchaudio,12.0,torchaudio.load,torchaudio,vits/utils.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\utils.py
import,loads,config = json.loads(data),176,import json,6.0,json.loads,json,vits/utils.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\utils.py
import,loads,config = json.loads(data),187,import json,6.0,json.loads,json,vits/utils.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\utils.py
import,loads,config = json.loads(data),197,import json,6.0,json.loads,json,vits/utils.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\utils.py
import,load,spec = torch.load(spec_filename),117,import torch,7.0,torch.load,torch,vits/data/audio.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\data\audio.py
import,load,melspec = torch.load(mel_filename),126,import torch,7.0,torch.load,torch,vits/data/audio.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\data\audio.py
import,load,pitch_mel = torch.load(pitch_filename),135,import torch,7.0,torch.load,torch,vits/data/audio.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\data\audio.py
import,load,hubert_features = torch.load(feature_filename),149,import torch,7.0,torch.load,torch,vits/data/audio.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\data\audio.py
import,load,x_wav = torch.load(x_audio_path),55,import torch,10.0,torch.load,torch,vits/data/dataset/vc_ms.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\data\dataset\vc_ms.py
import,load,x_pitch_mel = torch.load(x_pitch_mel_path),67,import torch,10.0,torch.load,torch,vits/data/dataset/vc_ms.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\data\dataset\vc_ms.py
import,load,y_wav = torch.load(y_audio_path),80,import torch,10.0,torch.load,torch,vits/data/dataset/vc_ms.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\data\dataset\vc_ms.py
import,load,"self.dec = torch.hub.load(""vtuber-plan/hifi-gan:v0.3.1"", ""hifigan_48k"")",59,import torch,4.0,torch.hub.load,torch,vits/model/synthesizers/synthesizer_svc.py,vtuber-plan/vcvits,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\vtuber-plan@vcvits\vits\model\synthesizers\synthesizer_svc.py
