call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
,fit,"return self.fit(estimator, x, y, **kwargs).explain(x, y)",240,,,self.fit,self,src/wildboar/base.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\base.py
assignment_import,fit,self.nystroem_.fit(x),115,self.nystroem_ = Nystroem(,109.0,sklearn.kernel_approximation.Nystroem.fit,sklearn,src/wildboar/datasets/outlier.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\datasets\outlier.py
,fit,"super().fit(self.nystroem_.transform(x), y, sample_weight=sample_weight)",116,,,super().fit,super(),src/wildboar/datasets/outlier.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\datasets\outlier.py
assignment_import,fit,k_means_.fit(x),173,k_means_ = KMeans(,169.0,sklearn.cluster.KMeans.fit,sklearn,src/wildboar/datasets/outlier.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\datasets\outlier.py
assignment_import,fit,estimator.fit(x),253,"estimator = OPTICS(max_eps=max_eps, min_samples=min_sample, metric=metric)",249.0,sklearn.cluster.OPTICS.fit,sklearn,src/wildboar/datasets/outlier.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\datasets\outlier.py
assignment_import,fit,transform.fit(x),491,transform = clone(transform),488.0,sklearn.clone.fit,sklearn,src/wildboar/datasets/outlier.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\datasets\outlier.py
,fit,"difficulty_estimator.fit(x, y_new)",645,,,difficulty_estimator.fit,difficulty_estimator,src/wildboar/datasets/outlier.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\datasets\outlier.py
,fit,"confusion_estimator.fit(x, y)",662,,,confusion_estimator.fit,confusion_estimator,src/wildboar/datasets/outlier.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\datasets\outlier.py
import,fit,"f = KMedoids(n_clusters=n_outliers, random_state=random_state).fit(x)",706,from sklearn_extra.cluster import KMedoids,703.0,"sklearn_extra.cluster.KMedoids.(n_clusters=n_outliers, random_state=random_state).fit",sklearn_extra,src/wildboar/datasets/outlier.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\datasets\outlier.py
import,fit,f = NearestNeighbors(n_neighbors=n_outliers).fit(x),720,from sklearn.neighbors import NearestNeighbors,22.0,sklearn.neighbors.NearestNeighbors.(n_neighbors=n_outliers).fit,sklearn,src/wildboar/datasets/outlier.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\datasets\outlier.py
assignment_unknown,load,"return bundle.load(dataset, archive)",424,bundle = self.get_bundle(bundle),407.0,self.get_bundle.load,self,src/wildboar/datasets/_repository.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\datasets\_repository.py
import,load,return pickle.load(f),693,import pickle,7.0,pickle.load,pickle,src/wildboar/datasets/_repository.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\datasets\_repository.py
import,load,data = np.load(archive.open(file)),1012,import numpy as np,14.0,numpy.load,numpy,src/wildboar/datasets/_repository.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\datasets\_repository.py
custom_function,fit_transform,"self.fit_transform(x, y, sample_weight)",1134,"def fit_transform(self, x, y=None, sample_weight=None):",1137.0,fit_transform.self,fit_transform,src/wildboar/ensemble/_ensemble.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\ensemble\_ensemble.py
,fit,"super().fit(x, y, sample_weight=sample_weight)",1141,,,super().fit,super(),src/wildboar/ensemble/_ensemble.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\ensemble\_ensemble.py
assignment_import,fit_transform,return self.one_hot_encoder_.fit_transform(self.apply(x)),1145,self.one_hot_encoder_ = OneHotEncoder(,1142.0,sklearn.preprocessing.OneHotEncoder.fit_transform,sklearn,src/wildboar/ensemble/_ensemble.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\ensemble\_ensemble.py
import,fit,self.sax_ = SAX(,509,"from ..transform import SAX, RandomShapeletTransform",19.0,"transform.SAX.(n_intervals=self.n_intervals, window=self.window, binning=self.binning, n_bins=self.n_bins, estimate=True).fit",transform,src/wildboar/explain/_importance.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\explain\_importance.py
import,fit,self.shapelet_transform_ = RandomShapeletTransform(,790,"from ..transform import SAX, RandomShapeletTransform",19.0,"transform.RandomShapeletTransform.(n_shapelets=self.n_shapelets, metric=self.metric, min_shapelet_size=self.min_shapelet_size, max_shapelet_size=self.max_shapelet_size, random_state=random_state.randint(np.iinfo(np.int32).max)).fit",transform,src/wildboar/explain/_importance.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\explain\_importance.py
assignment_import,fit,"explainer.fit(estimator, train_x, train_y)",208,explainer = clone(method),203.0,sklearn.base.clone.fit,sklearn,src/wildboar/explain/counterfactual/_helper.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\explain\counterfactual\_helper.py
import,fit,"kmeans = KMeans(n_clusters=n_clusters, random_state=self.random_state).fit(x)",63,from sklearn.cluster import KMeans,5.0,"sklearn.cluster.KMeans.(n_clusters=n_clusters, random_state=self.random_state).fit",sklearn,src/wildboar/explain/counterfactual/_nn.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\explain\counterfactual\_nn.py
assignment_import,fit,majority_center_nn.fit(majority_centers),84,"majority_center_nn = NearestNeighbors(n_neighbors=1, metric=""euclidean"")",82.0,sklearn.neighbors.NearestNeighbors.fit,sklearn,src/wildboar/explain/counterfactual/_nn.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\explain\counterfactual\_nn.py
assignment_import,fit,self.nearest_neighbors.fit(x),220,self.nearest_neighbors = NearestNeighbors(,214.0,sklearn.neighbors.NearestNeighbors.fit,sklearn,src/wildboar/explain/counterfactual/_proto.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\explain\counterfactual\_proto.py
assignment_import,fit,"self.pipe_.fit(x, y, estimator__sample_weight=sample_weight)",25,self.pipe_ = Pipeline(self._build_pipeline()),24.0,sklearn.pipeline.Pipeline.fit,sklearn,src/wildboar/linear_model/_transform.py,wildboar-foundation/wildboar,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wildboar-foundation@wildboar\src\wildboar\linear_model\_transform.py
