call_name,line_no,class_instantiation,instantiation_line_no,relative_file_path,repository_name,file_path
"criterion(logps, labels)",174,criterion = nn.CrossEntropyLoss(),157,classifier/train_resnet.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\classifier\train_resnet.py
"criterion(logps, labels)",187,criterion = nn.CrossEntropyLoss(),157,classifier/train_resnet.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\classifier\train_resnet.py
"self.self_attn(q, k, value=src, attn_mask=src_mask, key_padding_mask=src_key_padding_mask)",155,"self.self_attn = nn.MultiheadAttention(d_model, nhead, dropout=dropout)",132,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.norm1(src),158,self.norm1 = nn.LayerNorm(d_model),138,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.linear1(src),159,"self.linear1 = nn.Linear(d_model, dim_feedforward)",134,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.linear2(self.dropout(self.activation(self.linear1(src)))),159,"self.linear2 = nn.Linear(dim_feedforward, d_model)",136,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.norm2(src),161,self.norm2 = nn.LayerNorm(d_model),139,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.norm1(src),168,self.norm1 = nn.LayerNorm(d_model),138,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
"self.self_attn(q, k, value=src2, attn_mask=src_mask, key_padding_mask=src_key_padding_mask)",170,"self.self_attn = nn.MultiheadAttention(d_model, nhead, dropout=dropout)",132,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.norm2(src),173,self.norm2 = nn.LayerNorm(d_model),139,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.linear1(src2),174,"self.linear1 = nn.Linear(d_model, dim_feedforward)",134,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.linear2(self.dropout(self.activation(self.linear1(src2)))),174,"self.linear2 = nn.Linear(dim_feedforward, d_model)",136,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
"self.self_attn(q, k, value=tgt, attn_mask=tgt_mask, key_padding_mask=tgt_key_padding_mask)",220,"self.self_attn = nn.MultiheadAttention(d_model, nhead, dropout=dropout)",132,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
"self.self_attn(q, k, value=tgt, attn_mask=tgt_mask, key_padding_mask=tgt_key_padding_mask)",220,"self.self_attn = nn.MultiheadAttention(d_model, nhead, dropout=dropout)",192,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.norm1(tgt),223,self.norm1 = nn.LayerNorm(d_model),138,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.norm1(tgt),223,self.norm1 = nn.LayerNorm(d_model),199,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
"self.multihead_attn(query=self.with_pos_embed(tgt, query_pos), key=self.with_pos_embed(memory, pos), value=memory, attn_mask=memory_mask, key_padding_mask=memory_key_padding_mask)",224,"self.multihead_attn = nn.MultiheadAttention(d_model, nhead, dropout=dropout)",193,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.norm2(tgt),229,self.norm2 = nn.LayerNorm(d_model),139,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.norm2(tgt),229,self.norm2 = nn.LayerNorm(d_model),200,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.linear1(tgt),230,"self.linear1 = nn.Linear(d_model, dim_feedforward)",134,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.linear2(self.dropout(self.activation(self.linear1(tgt)))),230,"self.linear2 = nn.Linear(dim_feedforward, d_model)",136,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.linear1(tgt),230,"self.linear1 = nn.Linear(d_model, dim_feedforward)",195,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.linear2(self.dropout(self.activation(self.linear1(tgt)))),230,"self.linear2 = nn.Linear(dim_feedforward, d_model)",197,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.norm3(tgt),232,self.norm3 = nn.LayerNorm(d_model),201,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.norm1(tgt),242,self.norm1 = nn.LayerNorm(d_model),138,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.norm1(tgt),242,self.norm1 = nn.LayerNorm(d_model),199,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
"self.self_attn(q, k, value=tgt2, attn_mask=tgt_mask, key_padding_mask=tgt_key_padding_mask)",244,"self.self_attn = nn.MultiheadAttention(d_model, nhead, dropout=dropout)",132,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
"self.self_attn(q, k, value=tgt2, attn_mask=tgt_mask, key_padding_mask=tgt_key_padding_mask)",244,"self.self_attn = nn.MultiheadAttention(d_model, nhead, dropout=dropout)",192,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.norm2(tgt),247,self.norm2 = nn.LayerNorm(d_model),139,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.norm2(tgt),247,self.norm2 = nn.LayerNorm(d_model),200,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
"self.multihead_attn(query=self.with_pos_embed(tgt2, query_pos), key=self.with_pos_embed(memory, pos), value=memory, attn_mask=memory_mask, key_padding_mask=memory_key_padding_mask)",248,"self.multihead_attn = nn.MultiheadAttention(d_model, nhead, dropout=dropout)",193,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.norm3(tgt),253,self.norm3 = nn.LayerNorm(d_model),201,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.linear1(tgt2),254,"self.linear1 = nn.Linear(d_model, dim_feedforward)",134,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.linear2(self.dropout(self.activation(self.linear1(tgt2)))),254,"self.linear2 = nn.Linear(dim_feedforward, d_model)",136,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.linear1(tgt2),254,"self.linear1 = nn.Linear(d_model, dim_feedforward)",195,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
self.linear2(self.dropout(self.activation(self.linear1(tgt2)))),254,"self.linear2 = nn.Linear(dim_feedforward, d_model)",197,detr/models/transformer.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\models\transformer.py
conv(x_level),371,"conv = ConvBnAct2d(in_channels, out_channels, kernel_size=1, padding=pad_type, norm_layer=norm_layer if apply_bn else None, bias=not apply_bn or redundant_bias, act_layer=None)",94,efficientdet/effdet/efficientdet.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\efficientdet\effdet\efficientdet.py
conv(x_level),382,"conv = ConvBnAct2d(in_channels, out_channels, kernel_size=1, padding=pad_type, norm_layer=norm_layer if apply_bn else None, bias=not apply_bn or redundant_bias, act_layer=None)",94,efficientdet/effdet/efficientdet.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\efficientdet\effdet\efficientdet.py
"bench(input, img_info=target)",162,"bench = torch.nn.DataParallel(bench, device_ids=list(range(args.num_gpu)))",138,efficientdet/validate.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\efficientdet\validate.py
