call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,dataset = json.load(f),50,import json,5.0,json.load,json,classifier/sort_openlittermap.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\classifier\sort_openlittermap.py
import,load,coco_dataset = json.load(f),53,import json,5.0,json.load,json,classifier/sort_openlittermap.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\classifier\sort_openlittermap.py
assignment_import,fit,"trainer.fit(model, train_loader, test_loader)",167,"trainer = pl.Trainer(gpus=[args.gpu],",163.0,pytorch_lightning.fit,pytorch_lightning,classifier/train_effnet.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\classifier\train_effnet.py
assignment_import,load_state_dict,model.load_state_dict(,243,model = torchvision.models.resnet50(pretrained=True).to(device),227.0,torchvision.load_state_dict,torchvision,classifier/train_resnet.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\classifier\train_resnet.py
import,load,torch.load(,244,import torch,12.0,torch.load,torch,classifier/train_resnet.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\classifier\train_resnet.py
import,load,"model = torch.hub.load('facebookresearch/detr',",215,import torch,15.0,torch.hub.load,torch,detr/demo.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\demo.py
import,load,"checkpoint = torch.load(checkpoint_path,",219,import torch,15.0,torch.load,torch,detr/demo.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\demo.py
assignment_import,load_state_dict,"model.load_state_dict(checkpoint['model'],",222,"model = torch.hub.load('facebookresearch/detr',",215.0,torch.load_state_dict,torch,detr/demo.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\demo.py
import,load,"checkpoint = torch.load(args.frozen_weights, map_location='cpu')",213,import torch,11.0,torch.load,torch,detr/main.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\main.py
,load_state_dict,model_without_ddp.detr.load_state_dict(checkpoint['model']),214,,,model_without_ddp.detr.load_state_dict,model_without_ddp,detr/main.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\main.py
import,load,"checkpoint = torch.load(args.resume, map_location='cpu')",222,import torch,11.0,torch.load,torch,detr/main.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\main.py
assignment_unknown,load_state_dict,"model_without_ddp.load_state_dict(checkpoint['model'], strict=False)",228,model_without_ddp = model.module,161.0,model.load_state_dict,model,detr/main.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\main.py
assignment_unknown,load_state_dict,model_without_ddp.load_state_dict(checkpoint['model']),230,model_without_ddp = model.module,161.0,model.load_state_dict,model,detr/main.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\main.py
assignment_unknown,load_state_dict,"model_without_ddp.load_state_dict(checkpoint['model'], strict=False)",232,model_without_ddp = model.module,161.0,model.load_state_dict,model,detr/main.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\main.py
assignment_import,load_state_dict,optimizer.load_state_dict(checkpoint['optimizer']),234,"optimizer = torch.optim.AdamW(param_dicts, lr=args.lr,",176.0,torch.load_state_dict,torch,detr/main.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\main.py
assignment_import,load_state_dict,lr_scheduler.load_state_dict(checkpoint['lr_scheduler']),235,"lr_scheduler = torch.optim.lr_scheduler.StepLR(optimizer, args.lr_drop)",180.0,torch.load_state_dict,torch,detr/main.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\main.py
import,load,self.coco = json.load(f),18,import json,2.0,json.load,json,detr/datasets/coco_panoptic.py,wimlds-trojmiasto/detect-waste,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\wimlds-trojmiasto@detect-waste\detr\datasets\coco_panoptic.py
