call_name,line_no,class_instantiation,instantiation_line_no,relative_file_path,repository_name,file_path
model(x),301,"model = ResNet(BasicBlock, [2, 2, 2, 2], **kwargs)",230,models/backbone/backbone_3d/resnet.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\models\backbone\backbone_3d\resnet.py
model(x),301,"model = ResNet(BasicBlock, [3, 4, 6, 3], **kwargs)",241,models/backbone/backbone_3d/resnet.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\models\backbone\backbone_3d\resnet.py
model(x),301,"model = ResNet(Bottleneck, [3, 4, 6, 3], **kwargs)",252,models/backbone/backbone_3d/resnet.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\models\backbone\backbone_3d\resnet.py
model(x),301,"model = ResNet(Bottleneck, [3, 4, 23, 3], **kwargs)",263,models/backbone/backbone_3d/resnet.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\models\backbone\backbone_3d\resnet.py
model(x),265,"model = ResNeXt(ResNeXtBottleneck, [3, 4, 6, 3], **kwargs)",205,models/backbone/backbone_3d/resnext.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\models\backbone\backbone_3d\resnext.py
model(x),265,"model = ResNeXt(ResNeXtBottleneck, [3, 4, 23, 3], **kwargs)",216,models/backbone/backbone_3d/resnext.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\models\backbone\backbone_3d\resnext.py
model(x),265,"model = ResNeXt(ResNeXtBottleneck, [3, 8, 36, 3], **kwargs)",227,models/backbone/backbone_3d/resnext.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\models\backbone\backbone_3d\resnext.py
model(x),229,model = ShuffleNetV2(model_size),206,models/backbone/backbone_3d/shufflnetv2.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\models\backbone\backbone_3d\shufflnetv2.py
"self.cls_loss(matched_pred_cls, matched_tgt_cls)",114,"self.cls_loss = Softmax_FocalLoss(num_classes=num_classes, gamma=2.0, reduction='none')",49,models/detector/yowo/loss.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\models\detector\yowo\loss.py
self.pred(feat),265,"self.pred = nn.Conv2d(cfg['head_dim'], self.num_anchors * (1 + num_classes + 4), kernel_size=1)",55,models/detector/yowo/yowo.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\models\detector\yowo\yowo.py
