call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
assignment_import,load_state_dict,"model.load_state_dict(checkpoint_state_dict, strict=False)",186,model = YOLOv2(),162,torch.nn.load_state_dict,torch,models/backbone/backbone_2d/yolov2.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\models\backbone\backbone_2d\yolov2.py
assignment_import,load_state_dict,"model.load_state_dict(checkpoint_state_dict, strict=False)",213,model = YOLOv3(),189,torch.nn.load_state_dict,torch,models/backbone/backbone_2d/yolov3.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\models\backbone\backbone_2d\yolov3.py
function_parameter,load_state_dict,model.load_state_dict(new_state_dict),222,"def load_weight(model, arch):",195,load_weight.model.load_state_dict,load_weight,models/backbone/backbone_3d/resnet.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\models\backbone\backbone_3d\resnet.py
function_parameter,load_state_dict,model.load_state_dict(new_state_dict),197,"def load_weight(model, arch):",170,load_weight.model.load_state_dict,load_weight,models/backbone/backbone_3d/resnext.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\models\backbone\backbone_3d\resnext.py
function_parameter,load_state_dict,model.load_state_dict(new_state_dict),199,"def load_weight(model, arch):",172,load_weight.model.load_state_dict,load_weight,models/backbone/backbone_3d/shufflnetv2.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\models\backbone\backbone_3d\shufflnetv2.py
import,load,"checkpoint = torch.load(resume, map_location='cpu')",60,import torch,1,torch.load,torch,models/detector/__init__.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\models\detector\__init__.py
assignment_import,load_state_dict,model.load_state_dict(checkpoint_state_dict),63,model = YOWO(,32,yowo.yowo.YOWO.load_state_dict,yowo,models/detector/__init__.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\models\detector\__init__.py
import,loads,data_list.append(pickle.loads(buffer)),48,import pickle,7,pickle.loads,pickle,utils/distributed_utils.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\utils\distributed_utils.py
import,load,"checkpoint = torch.load(path_to_ckpt, map_location='cpu')",147,import torch,1,torch.load,torch,utils/misc.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\utils\misc.py
function_parameter,load_state_dict,model.load_state_dict(checkpoint_state_dict),163,"def load_weight(model, path_to_ckpt=None):",142,load_weight.model.load_state_dict,load_weight,utils/misc.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\utils\misc.py
import,load,self.class_ratio = json.load(fb),199,import json,8,json.load,json,utils/misc.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\utils\misc.py
import,load,checkpoint = torch.load(resume),36,import torch,2,torch.load,torch,utils/solver/optimizer.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\utils\solver\optimizer.py
assignment_import,load_state_dict,optimizer.load_state_dict(checkpoint_state_dict),39,"optimizer = optim.AdamW(model.parameters(),",29,torch.optim.load_state_dict,torch,utils/solver/optimizer.py,yjh0410/PyTorch_YOWO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@PyTorch_YOWO\utils\solver\optimizer.py
