Unnamed: 0,full_name,description,topics,clone_url,created_at,updated_at,pushed_at,language,stars_count,forks_count,size,has_requirements_files,last_commit_hash
2119,angsten/pianonet,PianoNet is a deep neural network for generating piano compositions.,[],https://github.com/angsten/pianonet.git,2020-04-23 22:27,2022-11-16 12:28,2022-11-21 22:53,Python,16,3,58019,True,b092739e5fd4036821ce37e90e88c2d25838bf74
222,eclipse/kura,Eclipse Kura™ project,"['eclipseiot', 'gateway', 'internet-of-things', 'iot', 'java']",https://github.com/eclipse/kura.git,2013-12-16 21:07,2023-02-23 9:33,2023-02-23 15:46,Java,450,299,271518,True,31ef269ef081bedd72772b8508dcc98cc960ba37
6683,boxkite-ml/boxkite,Concept drift monitoring for HA model servers.,[],https://github.com/boxkite-ml/boxkite.git,2020-12-02 6:00,2023-02-17 5:00,2023-02-20 7:00,Python,99,11,2491,True,da6d3fba5fd7d328695f202bdb731125165c9201
7263,toshan-luktuke/stock-market-analyser,This web app uses machine learning to analyse the stock market.,[],https://github.com/toshan-luktuke/stock-market-analyser.git,2021-09-11 14:41,2022-09-14 20:27,2023-01-10 8:18,JavaScript,24,6,1697,True,bf50a761373684d8cda9da7c2da5839590e21bb9
5603,vtuber-plan/vcvits,Non Parallel Voice Conversion based on VITS,"['speech-synthesis', 'svc', 'vits']",https://github.com/vtuber-plan/vcvits.git,2022-10-05 16:16,2023-02-19 16:00,2022-11-24 13:18,Python,15,3,8928,True,e49e32b50d7d3c0c08e5f13da0a0871c652a1c4d
6399,LineaLabs/lineapy,"Move fast from data science prototype to pipeline. Capture, analyze, and transform messy notebooks into data pipelines with just two lines of code.",[],https://github.com/LineaLabs/lineapy.git,2021-07-28 21:46,2023-02-23 19:29,2023-01-31 19:49,Python,566,30,37336,True,872c30474277665aed22d8566308c5c334f417ab
255,Giskard-AI/giskard,Collaborative & Open-Source Quality Assurance for AI models 🧑‍🔧⚡️,"['ai', 'ai-test', 'ai-testing', 'artificial-intelligence', 'cicd', 'continous-delivery', 'continuous-integration', 'machine-learning', 'machine-learning-testing', 'ml', 'ml-test', 'ml-testing', 'ml-validation', 'mlops', 'model-monitoring', 'model-testing', 'model-validation', 'quality-assurance', 'testing', 'testing-tools']",https://github.com/Giskard-AI/giskard.git,2022-03-06 21:45,2023-02-23 1:55,2023-02-23 16:59,Java,382,24,98677,True,8163ee9a0265ecb6417c7364cb36eab5651d7c67
3113,bupt-ai-cz/LLVIP,LLVIP: A Visible-infrared Paired Dataset for Low-light Vision,"['cnn', 'computer-vision', 'deep-learning', 'gan', 'iccv2021', 'image-fusion', 'image-to-image-translation', 'low-light-image', 'low-light-vision', 'object-detection', 'visible-infrared']",https://github.com/bupt-ai-cz/LLVIP.git,2021-06-15 8:10,2023-02-23 4:09,2023-02-23 7:13,Jupyter Notebook,435,55,70675,True,278d1ce0beb6d9627f3181684e9f07c06711634c
489,Moving-AI/virtual-walk,Virtual walks in Google Street View using PoseNet and applying Deep Learning models to recognize actions.,"['google-maps', 'google-street', 'lstm-model', 'posenet', 'tensorflow', 'virtual-reality', 'webcam']",https://github.com/Moving-AI/virtual-walk.git,2020-03-27 7:52,2023-02-16 1:21,2022-11-21 22:58,Python,168,35,60617,True,75249dd4e2a3f6f949f40311d911ab716d2145a5
4412,thevasudevgupta/bigbird,Google's BigBird (Jax/Flax & PyTorch) @ 🤗Transformers,"['bigbird', 'huggingface', 'natural-questions', 'pytorch', 'transformers', 'wandb']",https://github.com/thevasudevgupta/bigbird.git,2021-03-02 21:33,2023-02-23 2:32,2022-09-17 20:00,Jupyter Notebook,44,8,14120,True,594783ae1c258763d8b337248026564d9be48d2b
